Extracting  10000  images.
Extracting  10000  labels
Extracting  1000  images.
Extracting  1000  labels
step 0, training accuracy 0.2 , Light( 5 ), Dist( 140 ), 2015-11-26 16:55:37
step 10, training accuracy 0.12 , Light( 5 ), Dist( 140 ), 2015-11-26 16:55:44
step 20, training accuracy 0.18 , Light( 5 ), Dist( 140 ), 2015-11-26 16:55:52
step 30, training accuracy 0.14 , Light( 5 ), Dist( 140 ), 2015-11-26 16:55:59
step 40, training accuracy 0.14 , Light( 5 ), Dist( 140 ), 2015-11-26 16:56:06
step 50, training accuracy 0.22 , Light( 5 ), Dist( 140 ), 2015-11-26 16:56:14
step 60, training accuracy 0.12 , Light( 5 ), Dist( 140 ), 2015-11-26 16:56:21
step 70, training accuracy 0.16 , Light( 5 ), Dist( 140 ), 2015-11-26 16:56:28
step 80, training accuracy 0.3 , Light( 5 ), Dist( 140 ), 2015-11-26 16:56:36
step 90, training accuracy 0.32 , Light( 5 ), Dist( 140 ), 2015-11-26 16:56:43
step 100, training accuracy 0.34 , Light( 5 ), Dist( 140 ), 2015-11-26 16:56:51
step 110, training accuracy 0.34 , Light( 5 ), Dist( 140 ), 2015-11-26 16:56:58
step 120, training accuracy 0.24 , Light( 5 ), Dist( 140 ), 2015-11-26 16:57:05
step 130, training accuracy 0.24 , Light( 5 ), Dist( 140 ), 2015-11-26 16:57:13
step 140, training accuracy 0.24 , Light( 5 ), Dist( 140 ), 2015-11-26 16:57:20
step 150, training accuracy 0.12 , Light( 5 ), Dist( 140 ), 2015-11-26 16:57:27
step 160, training accuracy 0.32 , Light( 5 ), Dist( 140 ), 2015-11-26 16:57:35
step 170, training accuracy 0.26 , Light( 5 ), Dist( 140 ), 2015-11-26 16:57:42
step 180, training accuracy 0.3 , Light( 5 ), Dist( 140 ), 2015-11-26 16:57:50
step 190, training accuracy 0.42 , Light( 5 ), Dist( 140 ), 2015-11-26 16:57:57
