Extracting  10000  images.
Extracting  10000  labels
Extracting  1000  images.
Extracting  1000  labels
step 0, training accuracy 0.22 , Light( 5 ), Dist( 70 ), 2015-11-26 16:53:38
step 10, training accuracy 0.12 , Light( 5 ), Dist( 70 ), 2015-11-26 16:53:51
step 20, training accuracy 0.2 , Light( 5 ), Dist( 70 ), 2015-11-26 16:54:04
step 30, training accuracy 0.22 , Light( 5 ), Dist( 70 ), 2015-11-26 16:54:18
step 40, training accuracy 0.38 , Light( 5 ), Dist( 70 ), 2015-11-26 16:54:31
step 50, training accuracy 0.42 , Light( 5 ), Dist( 70 ), 2015-11-26 16:54:44
step 60, training accuracy 0.5 , Light( 5 ), Dist( 70 ), 2015-11-26 16:54:57
step 70, training accuracy 0.44 , Light( 5 ), Dist( 70 ), 2015-11-26 16:55:11
step 80, training accuracy 0.64 , Light( 5 ), Dist( 70 ), 2015-11-26 16:55:24
step 90, training accuracy 0.68 , Light( 5 ), Dist( 70 ), 2015-11-26 16:55:38
step 100, training accuracy 0.54 , Light( 5 ), Dist( 70 ), 2015-11-26 16:55:50
step 110, training accuracy 0.6 , Light( 5 ), Dist( 70 ), 2015-11-26 16:56:03
step 120, training accuracy 0.62 , Light( 5 ), Dist( 70 ), 2015-11-26 16:56:17
step 130, training accuracy 0.56 , Light( 5 ), Dist( 70 ), 2015-11-26 16:56:30
step 140, training accuracy 0.72 , Light( 5 ), Dist( 70 ), 2015-11-26 16:56:43
step 150, training accuracy 0.7 , Light( 5 ), Dist( 70 ), 2015-11-26 16:56:56
step 160, training accuracy 0.82 , Light( 5 ), Dist( 70 ), 2015-11-26 16:57:09
step 170, training accuracy 0.72 , Light( 5 ), Dist( 70 ), 2015-11-26 16:57:22
step 180, training accuracy 0.84 , Light( 5 ), Dist( 70 ), 2015-11-26 16:57:35
step 190, training accuracy 0.74 , Light( 5 ), Dist( 70 ), 2015-11-26 16:57:49
step 200, training accuracy 0.76 , Light( 5 ), Dist( 70 ), 2015-11-26 16:58:02
step 210, training accuracy 0.86 , Light( 5 ), Dist( 70 ), 2015-11-26 16:58:15
step 220, training accuracy 0.66 , Light( 5 ), Dist( 70 ), 2015-11-26 16:58:28
step 230, training accuracy 0.74 , Light( 5 ), Dist( 70 ), 2015-11-26 16:58:41
step 240, training accuracy 0.72 , Light( 5 ), Dist( 70 ), 2015-11-26 16:58:54
step 250, training accuracy 0.76 , Light( 5 ), Dist( 70 ), 2015-11-26 16:59:06
step 260, training accuracy 0.84 , Light( 5 ), Dist( 70 ), 2015-11-26 16:59:18
step 270, training accuracy 0.76 , Light( 5 ), Dist( 70 ), 2015-11-26 16:59:28
step 280, training accuracy 0.78 , Light( 5 ), Dist( 70 ), 2015-11-26 16:59:39
step 290, training accuracy 0.8 , Light( 5 ), Dist( 70 ), 2015-11-26 16:59:49
step 300, training accuracy 0.78 , Light( 5 ), Dist( 70 ), 2015-11-26 17:00:01
step 310, training accuracy 0.78 , Light( 5 ), Dist( 70 ), 2015-11-26 17:00:11
step 320, training accuracy 0.78 , Light( 5 ), Dist( 70 ), 2015-11-26 17:00:21
step 330, training accuracy 0.82 , Light( 5 ), Dist( 70 ), 2015-11-26 17:00:31
step 340, training accuracy 0.86 , Light( 5 ), Dist( 70 ), 2015-11-26 17:00:43
step 350, training accuracy 0.86 , Light( 5 ), Dist( 70 ), 2015-11-26 17:00:53
step 360, training accuracy 0.76 , Light( 5 ), Dist( 70 ), 2015-11-26 17:01:04
step 370, training accuracy 0.82 , Light( 5 ), Dist( 70 ), 2015-11-26 17:01:15
step 380, training accuracy 0.86 , Light( 5 ), Dist( 70 ), 2015-11-26 17:01:26
step 390, training accuracy 0.78 , Light( 5 ), Dist( 70 ), 2015-11-26 17:01:37
step 400, training accuracy 0.86 , Light( 5 ), Dist( 70 ), 2015-11-26 17:01:48
step 410, training accuracy 0.76 , Light( 5 ), Dist( 70 ), 2015-11-26 17:01:59
step 420, training accuracy 0.8 , Light( 5 ), Dist( 70 ), 2015-11-26 17:02:09
step 430, training accuracy 0.9 , Light( 5 ), Dist( 70 ), 2015-11-26 17:02:20
step 440, training accuracy 0.82 , Light( 5 ), Dist( 70 ), 2015-11-26 17:02:30
step 450, training accuracy 0.94 , Light( 5 ), Dist( 70 ), 2015-11-26 17:02:41
step 460, training accuracy 0.74 , Light( 5 ), Dist( 70 ), 2015-11-26 17:02:53
step 470, training accuracy 0.9 , Light( 5 ), Dist( 70 ), 2015-11-26 17:03:07
step 480, training accuracy 0.96 , Light( 5 ), Dist( 70 ), 2015-11-26 17:03:21
step 490, training accuracy 0.78 , Light( 5 ), Dist( 70 ), 2015-11-26 17:03:35
step 500, training accuracy 0.9 , Light( 5 ), Dist( 70 ), 2015-11-26 17:03:49
step 510, training accuracy 0.94 , Light( 5 ), Dist( 70 ), 2015-11-26 17:04:03
step 520, training accuracy 0.82 , Light( 5 ), Dist( 70 ), 2015-11-26 17:04:17
step 530, training accuracy 0.8 , Light( 5 ), Dist( 70 ), 2015-11-26 17:04:31
step 540, training accuracy 0.8 , Light( 5 ), Dist( 70 ), 2015-11-26 17:04:45
