Extracting  10000  images.
Extracting  10000  labels
Extracting  1000  images.
Extracting  1000  labels
step 0, training accuracy 0.1 , Light( 5 ), Dist( 35 ), 2015-11-26 16:31:33
step 10, training accuracy 0.18 , Light( 5 ), Dist( 35 ), 2015-11-26 16:31:47
step 20, training accuracy 0.34 , Light( 5 ), Dist( 35 ), 2015-11-26 16:32:00
step 30, training accuracy 0.44 , Light( 5 ), Dist( 35 ), 2015-11-26 16:32:13
step 40, training accuracy 0.48 , Light( 5 ), Dist( 35 ), 2015-11-26 16:32:26
step 50, training accuracy 0.62 , Light( 5 ), Dist( 35 ), 2015-11-26 16:32:39
step 60, training accuracy 0.64 , Light( 5 ), Dist( 35 ), 2015-11-26 16:32:52
step 70, training accuracy 0.76 , Light( 5 ), Dist( 35 ), 2015-11-26 16:33:05
step 80, training accuracy 0.66 , Light( 5 ), Dist( 35 ), 2015-11-26 16:33:18
step 90, training accuracy 0.66 , Light( 5 ), Dist( 35 ), 2015-11-26 16:33:31
step 100, training accuracy 0.82 , Light( 5 ), Dist( 35 ), 2015-11-26 16:33:44
step 110, training accuracy 0.8 , Light( 5 ), Dist( 35 ), 2015-11-26 16:33:58
step 120, training accuracy 0.84 , Light( 5 ), Dist( 35 ), 2015-11-26 16:34:11
step 130, training accuracy 0.8 , Light( 5 ), Dist( 35 ), 2015-11-26 16:34:24
step 140, training accuracy 0.74 , Light( 5 ), Dist( 35 ), 2015-11-26 16:34:38
step 150, training accuracy 0.8 , Light( 5 ), Dist( 35 ), 2015-11-26 16:34:51
step 160, training accuracy 0.82 , Light( 5 ), Dist( 35 ), 2015-11-26 16:35:05
step 170, training accuracy 0.72 , Light( 5 ), Dist( 35 ), 2015-11-26 16:35:18
step 180, training accuracy 0.84 , Light( 5 ), Dist( 35 ), 2015-11-26 16:35:31
step 190, training accuracy 0.94 , Light( 5 ), Dist( 35 ), 2015-11-26 16:35:45
step 200, training accuracy 0.86 , Light( 5 ), Dist( 35 ), 2015-11-26 16:35:58
step 210, training accuracy 0.82 , Light( 5 ), Dist( 35 ), 2015-11-26 16:36:11
step 220, training accuracy 0.78 , Light( 5 ), Dist( 35 ), 2015-11-26 16:36:25
step 230, training accuracy 0.92 , Light( 5 ), Dist( 35 ), 2015-11-26 16:36:38
step 240, training accuracy 0.78 , Light( 5 ), Dist( 35 ), 2015-11-26 16:36:51
step 250, training accuracy 0.92 , Light( 5 ), Dist( 35 ), 2015-11-26 16:37:04
step 260, training accuracy 0.88 , Light( 5 ), Dist( 35 ), 2015-11-26 16:37:18
step 270, training accuracy 0.86 , Light( 5 ), Dist( 35 ), 2015-11-26 16:37:31
step 280, training accuracy 0.9 , Light( 5 ), Dist( 35 ), 2015-11-26 16:37:44
step 290, training accuracy 0.92 , Light( 5 ), Dist( 35 ), 2015-11-26 16:37:57
step 300, training accuracy 0.9 , Light( 5 ), Dist( 35 ), 2015-11-26 16:38:10
step 310, training accuracy 0.92 , Light( 5 ), Dist( 35 ), 2015-11-26 16:38:24
step 320, training accuracy 0.88 , Light( 5 ), Dist( 35 ), 2015-11-26 16:38:37
step 330, training accuracy 0.84 , Light( 5 ), Dist( 35 ), 2015-11-26 16:38:50
step 340, training accuracy 0.9 , Light( 5 ), Dist( 35 ), 2015-11-26 16:39:04
step 350, training accuracy 0.94 , Light( 5 ), Dist( 35 ), 2015-11-26 16:39:17
step 360, training accuracy 0.9 , Light( 5 ), Dist( 35 ), 2015-11-26 16:39:30
step 370, training accuracy 0.86 , Light( 5 ), Dist( 35 ), 2015-11-26 16:39:43
step 380, training accuracy 0.92 , Light( 5 ), Dist( 35 ), 2015-11-26 16:39:56
step 390, training accuracy 0.9 , Light( 5 ), Dist( 35 ), 2015-11-26 16:40:09
step 400, training accuracy 0.88 , Light( 5 ), Dist( 35 ), 2015-11-26 16:40:22
step 410, training accuracy 0.86 , Light( 5 ), Dist( 35 ), 2015-11-26 16:40:35
step 420, training accuracy 0.88 , Light( 5 ), Dist( 35 ), 2015-11-26 16:40:48
step 430, training accuracy 0.86 , Light( 5 ), Dist( 35 ), 2015-11-26 16:41:01
step 440, training accuracy 0.98 , Light( 5 ), Dist( 35 ), 2015-11-26 16:41:14
step 450, training accuracy 0.94 , Light( 5 ), Dist( 35 ), 2015-11-26 16:41:27
step 460, training accuracy 0.9 , Light( 5 ), Dist( 35 ), 2015-11-26 16:41:40
step 470, training accuracy 0.9 , Light( 5 ), Dist( 35 ), 2015-11-26 16:41:53
step 480, training accuracy 0.94 , Light( 5 ), Dist( 35 ), 2015-11-26 16:42:06
step 490, training accuracy 0.92 , Light( 5 ), Dist( 35 ), 2015-11-26 16:42:19
step 500, training accuracy 0.96 , Light( 5 ), Dist( 35 ), 2015-11-26 16:42:32
step 510, training accuracy 0.94 , Light( 5 ), Dist( 35 ), 2015-11-26 16:42:46
step 520, training accuracy 0.96 , Light( 5 ), Dist( 35 ), 2015-11-26 16:42:59
step 530, training accuracy 0.88 , Light( 5 ), Dist( 35 ), 2015-11-26 16:43:12
step 540, training accuracy 0.9 , Light( 5 ), Dist( 35 ), 2015-11-26 16:43:25
step 550, training accuracy 0.94 , Light( 5 ), Dist( 35 ), 2015-11-26 16:43:38
step 560, training accuracy 0.9 , Light( 5 ), Dist( 35 ), 2015-11-26 16:43:51
step 570, training accuracy 0.9 , Light( 5 ), Dist( 35 ), 2015-11-26 16:44:04
step 580, training accuracy 0.94 , Light( 5 ), Dist( 35 ), 2015-11-26 16:44:17
step 590, training accuracy 0.92 , Light( 5 ), Dist( 35 ), 2015-11-26 16:44:30
step 600, training accuracy 0.92 , Light( 5 ), Dist( 35 ), 2015-11-26 16:44:43
step 610, training accuracy 0.94 , Light( 5 ), Dist( 35 ), 2015-11-26 16:44:57
step 620, training accuracy 0.98 , Light( 5 ), Dist( 35 ), 2015-11-26 16:45:10
step 630, training accuracy 1 , Light( 5 ), Dist( 35 ), 2015-11-26 16:45:23
step 640, training accuracy 0.94 , Light( 5 ), Dist( 35 ), 2015-11-26 16:45:36
step 650, training accuracy 0.96 , Light( 5 ), Dist( 35 ), 2015-11-26 16:45:49
step 660, training accuracy 0.96 , Light( 5 ), Dist( 35 ), 2015-11-26 16:46:02
step 670, training accuracy 0.92 , Light( 5 ), Dist( 35 ), 2015-11-26 16:46:15
step 680, training accuracy 0.92 , Light( 5 ), Dist( 35 ), 2015-11-26 16:46:29
step 690, training accuracy 0.96 , Light( 5 ), Dist( 35 ), 2015-11-26 16:46:41
step 700, training accuracy 0.98 , Light( 5 ), Dist( 35 ), 2015-11-26 16:46:54
step 710, training accuracy 0.96 , Light( 5 ), Dist( 35 ), 2015-11-26 16:47:07
step 720, training accuracy 0.9 , Light( 5 ), Dist( 35 ), 2015-11-26 16:47:20
step 730, training accuracy 0.98 , Light( 5 ), Dist( 35 ), 2015-11-26 16:47:34
step 740, training accuracy 0.96 , Light( 5 ), Dist( 35 ), 2015-11-26 16:47:47
step 750, training accuracy 0.94 , Light( 5 ), Dist( 35 ), 2015-11-26 16:48:01
step 760, training accuracy 0.94 , Light( 5 ), Dist( 35 ), 2015-11-26 16:48:14
step 770, training accuracy 0.92 , Light( 5 ), Dist( 35 ), 2015-11-26 16:48:27
step 780, training accuracy 0.92 , Light( 5 ), Dist( 35 ), 2015-11-26 16:48:40
step 790, training accuracy 0.94 , Light( 5 ), Dist( 35 ), 2015-11-26 16:48:52
step 800, training accuracy 0.92 , Light( 5 ), Dist( 35 ), 2015-11-26 16:49:05
step 810, training accuracy 0.96 , Light( 5 ), Dist( 35 ), 2015-11-26 16:49:18
step 820, training accuracy 0.9 , Light( 5 ), Dist( 35 ), 2015-11-26 16:49:31
step 830, training accuracy 0.96 , Light( 5 ), Dist( 35 ), 2015-11-26 16:49:44
step 840, training accuracy 0.98 , Light( 5 ), Dist( 35 ), 2015-11-26 16:49:57
step 850, training accuracy 0.92 , Light( 5 ), Dist( 35 ), 2015-11-26 16:50:10
step 860, training accuracy 0.88 , Light( 5 ), Dist( 35 ), 2015-11-26 16:50:23
step 870, training accuracy 0.96 , Light( 5 ), Dist( 35 ), 2015-11-26 16:50:36
step 880, training accuracy 0.94 , Light( 5 ), Dist( 35 ), 2015-11-26 16:50:49
step 890, training accuracy 0.9 , Light( 5 ), Dist( 35 ), 2015-11-26 16:51:02
step 900, training accuracy 0.98 , Light( 5 ), Dist( 35 ), 2015-11-26 16:51:16
step 910, training accuracy 0.96 , Light( 5 ), Dist( 35 ), 2015-11-26 16:51:28
step 920, training accuracy 0.98 , Light( 5 ), Dist( 35 ), 2015-11-26 16:51:42
step 930, training accuracy 0.98 , Light( 5 ), Dist( 35 ), 2015-11-26 16:51:55
step 940, training accuracy 0.98 , Light( 5 ), Dist( 35 ), 2015-11-26 16:52:08
step 950, training accuracy 0.98 , Light( 5 ), Dist( 35 ), 2015-11-26 16:52:21
step 960, training accuracy 1 , Light( 5 ), Dist( 35 ), 2015-11-26 16:52:35
step 970, training accuracy 0.96 , Light( 5 ), Dist( 35 ), 2015-11-26 16:52:48
step 980, training accuracy 0.96 , Light( 5 ), Dist( 35 ), 2015-11-26 16:53:01
step 990, training accuracy 0.98 , Light( 5 ), Dist( 35 ), 2015-11-26 16:53:14
test accuracy 0.928
