Extracting  10000  images.
Extracting  10000  labels
Extracting  1000  images.
Extracting  1000  labels
step 0, training accuracy 0.16 , Light( 15 ), Dist( 35 ), 2015-11-26 17:16:00
step 10, training accuracy 0.48 , Light( 15 ), Dist( 35 ), 2015-11-26 17:16:15
step 20, training accuracy 0.42 , Light( 15 ), Dist( 35 ), 2015-11-26 17:16:30
step 30, training accuracy 0.72 , Light( 15 ), Dist( 35 ), 2015-11-26 17:16:44
step 40, training accuracy 0.78 , Light( 15 ), Dist( 35 ), 2015-11-26 17:16:59
step 50, training accuracy 0.74 , Light( 15 ), Dist( 35 ), 2015-11-26 17:17:13
step 60, training accuracy 0.82 , Light( 15 ), Dist( 35 ), 2015-11-26 17:17:28
step 70, training accuracy 0.84 , Light( 15 ), Dist( 35 ), 2015-11-26 17:17:43
step 80, training accuracy 0.82 , Light( 15 ), Dist( 35 ), 2015-11-26 17:17:58
step 90, training accuracy 0.9 , Light( 15 ), Dist( 35 ), 2015-11-26 17:18:13
step 100, training accuracy 0.86 , Light( 15 ), Dist( 35 ), 2015-11-26 17:18:28
step 110, training accuracy 0.9 , Light( 15 ), Dist( 35 ), 2015-11-26 17:18:42
step 120, training accuracy 0.9 , Light( 15 ), Dist( 35 ), 2015-11-26 17:18:57
step 130, training accuracy 0.88 , Light( 15 ), Dist( 35 ), 2015-11-26 17:19:11
step 140, training accuracy 0.82 , Light( 15 ), Dist( 35 ), 2015-11-26 17:19:26
step 150, training accuracy 0.84 , Light( 15 ), Dist( 35 ), 2015-11-26 17:19:41
step 160, training accuracy 0.84 , Light( 15 ), Dist( 35 ), 2015-11-26 17:19:56
step 170, training accuracy 0.88 , Light( 15 ), Dist( 35 ), 2015-11-26 17:20:11
step 180, training accuracy 0.96 , Light( 15 ), Dist( 35 ), 2015-11-26 17:20:24
step 190, training accuracy 0.96 , Light( 15 ), Dist( 35 ), 2015-11-26 17:20:39
step 200, training accuracy 0.96 , Light( 15 ), Dist( 35 ), 2015-11-26 17:20:52
step 210, training accuracy 0.98 , Light( 15 ), Dist( 35 ), 2015-11-26 17:21:06
step 220, training accuracy 0.92 , Light( 15 ), Dist( 35 ), 2015-11-26 17:21:20
step 230, training accuracy 0.9 , Light( 15 ), Dist( 35 ), 2015-11-26 17:21:34
step 240, training accuracy 0.8 , Light( 15 ), Dist( 35 ), 2015-11-26 17:21:48
step 250, training accuracy 0.96 , Light( 15 ), Dist( 35 ), 2015-11-26 17:22:02
step 260, training accuracy 0.9 , Light( 15 ), Dist( 35 ), 2015-11-26 17:22:16
step 270, training accuracy 0.98 , Light( 15 ), Dist( 35 ), 2015-11-26 17:22:31
step 280, training accuracy 0.94 , Light( 15 ), Dist( 35 ), 2015-11-26 17:22:45
step 290, training accuracy 0.94 , Light( 15 ), Dist( 35 ), 2015-11-26 17:22:59
step 300, training accuracy 0.98 , Light( 15 ), Dist( 35 ), 2015-11-26 17:23:14
step 310, training accuracy 0.96 , Light( 15 ), Dist( 35 ), 2015-11-26 17:23:28
step 320, training accuracy 0.94 , Light( 15 ), Dist( 35 ), 2015-11-26 17:23:43
step 330, training accuracy 1 , Light( 15 ), Dist( 35 ), 2015-11-26 17:23:57
step 340, training accuracy 0.9 , Light( 15 ), Dist( 35 ), 2015-11-26 17:24:12
step 350, training accuracy 0.96 , Light( 15 ), Dist( 35 ), 2015-11-26 17:24:27
step 360, training accuracy 0.96 , Light( 15 ), Dist( 35 ), 2015-11-26 17:24:42
step 370, training accuracy 0.96 , Light( 15 ), Dist( 35 ), 2015-11-26 17:24:58
step 380, training accuracy 0.92 , Light( 15 ), Dist( 35 ), 2015-11-26 17:25:12
step 390, training accuracy 0.96 , Light( 15 ), Dist( 35 ), 2015-11-26 17:25:28
step 400, training accuracy 0.9 , Light( 15 ), Dist( 35 ), 2015-11-26 17:25:42
step 410, training accuracy 0.94 , Light( 15 ), Dist( 35 ), 2015-11-26 17:25:57
step 420, training accuracy 0.86 , Light( 15 ), Dist( 35 ), 2015-11-26 17:26:12
step 430, training accuracy 0.92 , Light( 15 ), Dist( 35 ), 2015-11-26 17:26:27
step 440, training accuracy 0.96 , Light( 15 ), Dist( 35 ), 2015-11-26 17:26:42
step 450, training accuracy 0.96 , Light( 15 ), Dist( 35 ), 2015-11-26 17:26:56
step 460, training accuracy 0.98 , Light( 15 ), Dist( 35 ), 2015-11-26 17:27:12
step 470, training accuracy 0.98 , Light( 15 ), Dist( 35 ), 2015-11-26 17:27:26
step 480, training accuracy 0.96 , Light( 15 ), Dist( 35 ), 2015-11-26 17:27:42
step 490, training accuracy 0.94 , Light( 15 ), Dist( 35 ), 2015-11-26 17:27:56
step 500, training accuracy 1 , Light( 15 ), Dist( 35 ), 2015-11-26 17:28:11
step 510, training accuracy 0.9 , Light( 15 ), Dist( 35 ), 2015-11-26 17:28:26
step 520, training accuracy 0.92 , Light( 15 ), Dist( 35 ), 2015-11-26 17:28:41
step 530, training accuracy 0.92 , Light( 15 ), Dist( 35 ), 2015-11-26 17:28:55
step 540, training accuracy 0.92 , Light( 15 ), Dist( 35 ), 2015-11-26 17:29:09
step 550, training accuracy 0.98 , Light( 15 ), Dist( 35 ), 2015-11-26 17:29:23
step 560, training accuracy 0.98 , Light( 15 ), Dist( 35 ), 2015-11-26 17:29:37
step 570, training accuracy 0.96 , Light( 15 ), Dist( 35 ), 2015-11-26 17:29:51
step 580, training accuracy 0.94 , Light( 15 ), Dist( 35 ), 2015-11-26 17:30:05
step 590, training accuracy 0.94 , Light( 15 ), Dist( 35 ), 2015-11-26 17:30:19
step 600, training accuracy 0.9 , Light( 15 ), Dist( 35 ), 2015-11-26 17:30:34
step 610, training accuracy 0.94 , Light( 15 ), Dist( 35 ), 2015-11-26 17:30:48
step 620, training accuracy 0.98 , Light( 15 ), Dist( 35 ), 2015-11-26 17:31:02
step 630, training accuracy 1 , Light( 15 ), Dist( 35 ), 2015-11-26 17:31:16
step 640, training accuracy 0.96 , Light( 15 ), Dist( 35 ), 2015-11-26 17:31:29
step 650, training accuracy 0.98 , Light( 15 ), Dist( 35 ), 2015-11-26 17:31:44
step 660, training accuracy 1 , Light( 15 ), Dist( 35 ), 2015-11-26 17:31:57
step 670, training accuracy 0.98 , Light( 15 ), Dist( 35 ), 2015-11-26 17:32:11
step 680, training accuracy 0.96 , Light( 15 ), Dist( 35 ), 2015-11-26 17:32:25
step 690, training accuracy 1 , Light( 15 ), Dist( 35 ), 2015-11-26 17:32:39
step 700, training accuracy 0.92 , Light( 15 ), Dist( 35 ), 2015-11-26 17:32:54
step 710, training accuracy 0.96 , Light( 15 ), Dist( 35 ), 2015-11-26 17:33:07
step 720, training accuracy 0.98 , Light( 15 ), Dist( 35 ), 2015-11-26 17:33:21
step 730, training accuracy 0.98 , Light( 15 ), Dist( 35 ), 2015-11-26 17:33:35
