Extracting  10000  images.
Extracting  10000  labels
Extracting  1000  images.
Extracting  1000  labels
step 0, training accuracy 0.1 , Light( 45 ), Dist( 140 ), 2015-11-26 17:20:45
step 10, training accuracy 0.08 , Light( 45 ), Dist( 140 ), 2015-11-26 17:20:53
step 20, training accuracy 0.18 , Light( 45 ), Dist( 140 ), 2015-11-26 17:21:00
step 30, training accuracy 0.36 , Light( 45 ), Dist( 140 ), 2015-11-26 17:21:08
step 40, training accuracy 0.28 , Light( 45 ), Dist( 140 ), 2015-11-26 17:21:15
step 50, training accuracy 0.22 , Light( 45 ), Dist( 140 ), 2015-11-26 17:21:22
step 60, training accuracy 0.64 , Light( 45 ), Dist( 140 ), 2015-11-26 17:21:30
step 70, training accuracy 0.64 , Light( 45 ), Dist( 140 ), 2015-11-26 17:21:37
step 80, training accuracy 0.6 , Light( 45 ), Dist( 140 ), 2015-11-26 17:21:44
step 90, training accuracy 0.62 , Light( 45 ), Dist( 140 ), 2015-11-26 17:21:52
step 100, training accuracy 0.7 , Light( 45 ), Dist( 140 ), 2015-11-26 17:21:59
step 110, training accuracy 0.58 , Light( 45 ), Dist( 140 ), 2015-11-26 17:22:07
step 120, training accuracy 0.76 , Light( 45 ), Dist( 140 ), 2015-11-26 17:22:14
step 130, training accuracy 0.8 , Light( 45 ), Dist( 140 ), 2015-11-26 17:22:21
step 140, training accuracy 0.74 , Light( 45 ), Dist( 140 ), 2015-11-26 17:22:29
step 150, training accuracy 0.78 , Light( 45 ), Dist( 140 ), 2015-11-26 17:22:36
step 160, training accuracy 0.82 , Light( 45 ), Dist( 140 ), 2015-11-26 17:22:43
step 170, training accuracy 0.9 , Light( 45 ), Dist( 140 ), 2015-11-26 17:22:51
step 180, training accuracy 0.66 , Light( 45 ), Dist( 140 ), 2015-11-26 17:22:58
step 190, training accuracy 0.88 , Light( 45 ), Dist( 140 ), 2015-11-26 17:23:06
step 200, training accuracy 0.8 , Light( 45 ), Dist( 140 ), 2015-11-26 17:23:13
step 210, training accuracy 0.9 , Light( 45 ), Dist( 140 ), 2015-11-26 17:23:20
step 220, training accuracy 0.78 , Light( 45 ), Dist( 140 ), 2015-11-26 17:23:28
step 230, training accuracy 0.78 , Light( 45 ), Dist( 140 ), 2015-11-26 17:23:35
step 240, training accuracy 0.84 , Light( 45 ), Dist( 140 ), 2015-11-26 17:23:42
step 250, training accuracy 0.8 , Light( 45 ), Dist( 140 ), 2015-11-26 17:23:50
step 260, training accuracy 0.84 , Light( 45 ), Dist( 140 ), 2015-11-26 17:23:57
step 270, training accuracy 0.84 , Light( 45 ), Dist( 140 ), 2015-11-26 17:24:05
step 280, training accuracy 0.86 , Light( 45 ), Dist( 140 ), 2015-11-26 17:24:12
step 290, training accuracy 0.82 , Light( 45 ), Dist( 140 ), 2015-11-26 17:24:19
step 300, training accuracy 0.8 , Light( 45 ), Dist( 140 ), 2015-11-26 17:24:27
step 310, training accuracy 0.86 , Light( 45 ), Dist( 140 ), 2015-11-26 17:24:34
step 320, training accuracy 0.88 , Light( 45 ), Dist( 140 ), 2015-11-26 17:24:41
step 330, training accuracy 0.88 , Light( 45 ), Dist( 140 ), 2015-11-26 17:24:49
step 340, training accuracy 0.88 , Light( 45 ), Dist( 140 ), 2015-11-26 17:24:56
step 350, training accuracy 0.92 , Light( 45 ), Dist( 140 ), 2015-11-26 17:25:04
step 360, training accuracy 0.88 , Light( 45 ), Dist( 140 ), 2015-11-26 17:25:11
step 370, training accuracy 0.8 , Light( 45 ), Dist( 140 ), 2015-11-26 17:25:18
step 380, training accuracy 0.84 , Light( 45 ), Dist( 140 ), 2015-11-26 17:25:26
step 390, training accuracy 1 , Light( 45 ), Dist( 140 ), 2015-11-26 17:25:33
step 400, training accuracy 0.88 , Light( 45 ), Dist( 140 ), 2015-11-26 17:25:40
step 410, training accuracy 0.9 , Light( 45 ), Dist( 140 ), 2015-11-26 17:25:48
step 420, training accuracy 0.8 , Light( 45 ), Dist( 140 ), 2015-11-26 17:25:55
step 430, training accuracy 0.96 , Light( 45 ), Dist( 140 ), 2015-11-26 17:26:03
step 440, training accuracy 0.88 , Light( 45 ), Dist( 140 ), 2015-11-26 17:26:10
step 450, training accuracy 0.96 , Light( 45 ), Dist( 140 ), 2015-11-26 17:26:18
step 460, training accuracy 0.8 , Light( 45 ), Dist( 140 ), 2015-11-26 17:26:25
