Extracting  10000  images.
Extracting  10000  labels
Extracting  1000  images.
Extracting  1000  labels
step 0, training accuracy 0.1 , Light( 45 ), Dist( 70 ), 2015-11-26 18:27:35
step 10, training accuracy 0.24 , Light( 45 ), Dist( 70 ), 2015-11-26 18:27:51
step 20, training accuracy 0.22 , Light( 45 ), Dist( 70 ), 2015-11-26 18:28:06
step 30, training accuracy 0.54 , Light( 45 ), Dist( 70 ), 2015-11-26 18:28:22
step 40, training accuracy 0.72 , Light( 45 ), Dist( 70 ), 2015-11-26 18:28:37
step 50, training accuracy 0.76 , Light( 45 ), Dist( 70 ), 2015-11-26 18:28:52
step 60, training accuracy 0.64 , Light( 45 ), Dist( 70 ), 2015-11-26 18:29:07
step 70, training accuracy 0.74 , Light( 45 ), Dist( 70 ), 2015-11-26 18:29:23
step 80, training accuracy 0.82 , Light( 45 ), Dist( 70 ), 2015-11-26 18:29:39
step 90, training accuracy 0.88 , Light( 45 ), Dist( 70 ), 2015-11-26 18:29:54
step 100, training accuracy 0.78 , Light( 45 ), Dist( 70 ), 2015-11-26 18:30:09
step 110, training accuracy 0.86 , Light( 45 ), Dist( 70 ), 2015-11-26 18:30:25
step 120, training accuracy 0.82 , Light( 45 ), Dist( 70 ), 2015-11-26 18:30:41
step 130, training accuracy 0.9 , Light( 45 ), Dist( 70 ), 2015-11-26 18:30:55
step 140, training accuracy 0.9 , Light( 45 ), Dist( 70 ), 2015-11-26 18:31:11
step 150, training accuracy 0.94 , Light( 45 ), Dist( 70 ), 2015-11-26 18:31:26
step 160, training accuracy 0.86 , Light( 45 ), Dist( 70 ), 2015-11-26 18:31:43
step 170, training accuracy 0.98 , Light( 45 ), Dist( 70 ), 2015-11-26 18:31:58
step 180, training accuracy 0.84 , Light( 45 ), Dist( 70 ), 2015-11-26 18:32:13
step 190, training accuracy 0.76 , Light( 45 ), Dist( 70 ), 2015-11-26 18:32:29
step 200, training accuracy 0.92 , Light( 45 ), Dist( 70 ), 2015-11-26 18:32:45
step 210, training accuracy 0.9 , Light( 45 ), Dist( 70 ), 2015-11-26 18:33:00
step 220, training accuracy 0.94 , Light( 45 ), Dist( 70 ), 2015-11-26 18:33:17
step 230, training accuracy 0.9 , Light( 45 ), Dist( 70 ), 2015-11-26 18:33:31
step 240, training accuracy 0.92 , Light( 45 ), Dist( 70 ), 2015-11-26 18:33:48
step 250, training accuracy 0.88 , Light( 45 ), Dist( 70 ), 2015-11-26 18:34:03
step 260, training accuracy 0.94 , Light( 45 ), Dist( 70 ), 2015-11-26 18:34:19
step 270, training accuracy 0.94 , Light( 45 ), Dist( 70 ), 2015-11-26 18:34:32
step 280, training accuracy 0.94 , Light( 45 ), Dist( 70 ), 2015-11-26 18:34:45
step 290, training accuracy 0.9 , Light( 45 ), Dist( 70 ), 2015-11-26 18:34:58
step 300, training accuracy 0.86 , Light( 45 ), Dist( 70 ), 2015-11-26 18:35:12
step 310, training accuracy 0.9 , Light( 45 ), Dist( 70 ), 2015-11-26 18:35:25
step 320, training accuracy 0.9 , Light( 45 ), Dist( 70 ), 2015-11-26 18:35:39
step 330, training accuracy 0.98 , Light( 45 ), Dist( 70 ), 2015-11-26 18:35:53
step 340, training accuracy 0.92 , Light( 45 ), Dist( 70 ), 2015-11-26 18:36:07
step 350, training accuracy 0.96 , Light( 45 ), Dist( 70 ), 2015-11-26 18:36:21
step 360, training accuracy 0.92 , Light( 45 ), Dist( 70 ), 2015-11-26 18:36:35
step 370, training accuracy 0.94 , Light( 45 ), Dist( 70 ), 2015-11-26 18:36:49
step 380, training accuracy 0.96 , Light( 45 ), Dist( 70 ), 2015-11-26 18:37:03
step 390, training accuracy 0.92 , Light( 45 ), Dist( 70 ), 2015-11-26 18:37:17
step 400, training accuracy 0.98 , Light( 45 ), Dist( 70 ), 2015-11-26 18:37:31
step 410, training accuracy 0.92 , Light( 45 ), Dist( 70 ), 2015-11-26 18:37:44
step 420, training accuracy 0.96 , Light( 45 ), Dist( 70 ), 2015-11-26 18:37:57
step 430, training accuracy 0.98 , Light( 45 ), Dist( 70 ), 2015-11-26 18:38:09
step 440, training accuracy 0.86 , Light( 45 ), Dist( 70 ), 2015-11-26 18:38:21
step 450, training accuracy 0.92 , Light( 45 ), Dist( 70 ), 2015-11-26 18:38:34
step 460, training accuracy 0.96 , Light( 45 ), Dist( 70 ), 2015-11-26 18:38:47
step 470, training accuracy 0.94 , Light( 45 ), Dist( 70 ), 2015-11-26 18:39:00
step 480, training accuracy 0.9 , Light( 45 ), Dist( 70 ), 2015-11-26 18:39:15
step 490, training accuracy 1 , Light( 45 ), Dist( 70 ), 2015-11-26 18:39:29
step 500, training accuracy 0.94 , Light( 45 ), Dist( 70 ), 2015-11-26 18:39:44
step 510, training accuracy 0.96 , Light( 45 ), Dist( 70 ), 2015-11-26 18:39:58
step 520, training accuracy 0.96 , Light( 45 ), Dist( 70 ), 2015-11-26 18:40:12
step 530, training accuracy 0.98 , Light( 45 ), Dist( 70 ), 2015-11-26 18:40:26
step 540, training accuracy 1 , Light( 45 ), Dist( 70 ), 2015-11-26 18:40:41
step 550, training accuracy 0.92 , Light( 45 ), Dist( 70 ), 2015-11-26 18:40:55
step 560, training accuracy 0.98 , Light( 45 ), Dist( 70 ), 2015-11-26 18:41:09
step 570, training accuracy 0.98 , Light( 45 ), Dist( 70 ), 2015-11-26 18:41:24
step 580, training accuracy 0.92 , Light( 45 ), Dist( 70 ), 2015-11-26 18:41:38
step 590, training accuracy 0.94 , Light( 45 ), Dist( 70 ), 2015-11-26 18:41:53
