Extracting  10000  images.
Extracting  10000  labels
Extracting  1000  images.
Extracting  1000  labels
step 0, training accuracy 0.1 , Light( 15 ), Dist( 70 ), 2015-11-26 17:39:47
step 10, training accuracy 0.1 , Light( 15 ), Dist( 70 ), 2015-11-26 17:40:00
step 20, training accuracy 0.34 , Light( 15 ), Dist( 70 ), 2015-11-26 17:40:12
step 30, training accuracy 0.56 , Light( 15 ), Dist( 70 ), 2015-11-26 17:40:26
step 40, training accuracy 0.44 , Light( 15 ), Dist( 70 ), 2015-11-26 17:40:39
step 50, training accuracy 0.68 , Light( 15 ), Dist( 70 ), 2015-11-26 17:40:52
step 60, training accuracy 0.56 , Light( 15 ), Dist( 70 ), 2015-11-26 17:41:05
step 70, training accuracy 0.76 , Light( 15 ), Dist( 70 ), 2015-11-26 17:41:18
step 80, training accuracy 0.72 , Light( 15 ), Dist( 70 ), 2015-11-26 17:41:31
step 90, training accuracy 0.76 , Light( 15 ), Dist( 70 ), 2015-11-26 17:41:44
step 100, training accuracy 0.78 , Light( 15 ), Dist( 70 ), 2015-11-26 17:41:57
step 110, training accuracy 0.74 , Light( 15 ), Dist( 70 ), 2015-11-26 17:42:10
step 120, training accuracy 0.78 , Light( 15 ), Dist( 70 ), 2015-11-26 17:42:24
step 130, training accuracy 0.84 , Light( 15 ), Dist( 70 ), 2015-11-26 17:42:37
step 140, training accuracy 0.96 , Light( 15 ), Dist( 70 ), 2015-11-26 17:42:51
step 150, training accuracy 0.94 , Light( 15 ), Dist( 70 ), 2015-11-26 17:43:04
step 160, training accuracy 0.8 , Light( 15 ), Dist( 70 ), 2015-11-26 17:43:18
step 170, training accuracy 0.94 , Light( 15 ), Dist( 70 ), 2015-11-26 17:43:32
step 180, training accuracy 0.92 , Light( 15 ), Dist( 70 ), 2015-11-26 17:43:46
step 190, training accuracy 0.92 , Light( 15 ), Dist( 70 ), 2015-11-26 17:43:59
step 200, training accuracy 0.96 , Light( 15 ), Dist( 70 ), 2015-11-26 17:44:12
step 210, training accuracy 0.94 , Light( 15 ), Dist( 70 ), 2015-11-26 17:44:25
step 220, training accuracy 0.86 , Light( 15 ), Dist( 70 ), 2015-11-26 17:44:38
step 230, training accuracy 0.9 , Light( 15 ), Dist( 70 ), 2015-11-26 17:44:52
step 240, training accuracy 0.92 , Light( 15 ), Dist( 70 ), 2015-11-26 17:45:05
step 250, training accuracy 0.96 , Light( 15 ), Dist( 70 ), 2015-11-26 17:45:19
step 260, training accuracy 0.9 , Light( 15 ), Dist( 70 ), 2015-11-26 17:45:32
step 270, training accuracy 0.88 , Light( 15 ), Dist( 70 ), 2015-11-26 17:45:46
step 280, training accuracy 0.96 , Light( 15 ), Dist( 70 ), 2015-11-26 17:45:59
step 290, training accuracy 0.92 , Light( 15 ), Dist( 70 ), 2015-11-26 17:46:12
step 300, training accuracy 0.94 , Light( 15 ), Dist( 70 ), 2015-11-26 17:46:26
step 310, training accuracy 0.94 , Light( 15 ), Dist( 70 ), 2015-11-26 17:46:40
step 320, training accuracy 0.96 , Light( 15 ), Dist( 70 ), 2015-11-26 17:46:54
step 330, training accuracy 0.9 , Light( 15 ), Dist( 70 ), 2015-11-26 17:47:08
step 340, training accuracy 0.9 , Light( 15 ), Dist( 70 ), 2015-11-26 17:47:22
step 350, training accuracy 0.94 , Light( 15 ), Dist( 70 ), 2015-11-26 17:47:36
step 360, training accuracy 0.98 , Light( 15 ), Dist( 70 ), 2015-11-26 17:47:50
step 370, training accuracy 0.98 , Light( 15 ), Dist( 70 ), 2015-11-26 17:48:05
step 380, training accuracy 0.9 , Light( 15 ), Dist( 70 ), 2015-11-26 17:48:19
step 390, training accuracy 0.92 , Light( 15 ), Dist( 70 ), 2015-11-26 17:48:34
step 400, training accuracy 1 , Light( 15 ), Dist( 70 ), 2015-11-26 17:48:48
step 410, training accuracy 0.96 , Light( 15 ), Dist( 70 ), 2015-11-26 17:49:02
step 420, training accuracy 0.92 , Light( 15 ), Dist( 70 ), 2015-11-26 17:49:16
step 430, training accuracy 0.92 , Light( 15 ), Dist( 70 ), 2015-11-26 17:49:30
step 440, training accuracy 0.9 , Light( 15 ), Dist( 70 ), 2015-11-26 17:49:43
step 450, training accuracy 0.92 , Light( 15 ), Dist( 70 ), 2015-11-26 17:49:56
step 460, training accuracy 0.98 , Light( 15 ), Dist( 70 ), 2015-11-26 17:50:09
step 470, training accuracy 0.96 , Light( 15 ), Dist( 70 ), 2015-11-26 17:50:22
step 480, training accuracy 0.94 , Light( 15 ), Dist( 70 ), 2015-11-26 17:50:35
step 490, training accuracy 1 , Light( 15 ), Dist( 70 ), 2015-11-26 17:50:48
step 500, training accuracy 0.92 , Light( 15 ), Dist( 70 ), 2015-11-26 17:51:01
step 510, training accuracy 1 , Light( 15 ), Dist( 70 ), 2015-11-26 17:51:13
step 520, training accuracy 0.94 , Light( 15 ), Dist( 70 ), 2015-11-26 17:51:26
step 530, training accuracy 0.9 , Light( 15 ), Dist( 70 ), 2015-11-26 17:51:39
step 540, training accuracy 0.96 , Light( 15 ), Dist( 70 ), 2015-11-26 17:51:51
step 550, training accuracy 0.92 , Light( 15 ), Dist( 70 ), 2015-11-26 17:52:04
step 560, training accuracy 0.96 , Light( 15 ), Dist( 70 ), 2015-11-26 17:52:17
step 570, training accuracy 0.92 , Light( 15 ), Dist( 70 ), 2015-11-26 17:52:30
step 580, training accuracy 0.92 , Light( 15 ), Dist( 70 ), 2015-11-26 17:52:43
step 590, training accuracy 0.9 , Light( 15 ), Dist( 70 ), 2015-11-26 17:52:57
step 600, training accuracy 0.96 , Light( 15 ), Dist( 70 ), 2015-11-26 17:53:12
step 610, training accuracy 0.9 , Light( 15 ), Dist( 70 ), 2015-11-26 17:53:26
step 620, training accuracy 0.9 , Light( 15 ), Dist( 70 ), 2015-11-26 17:53:40
step 630, training accuracy 0.96 , Light( 15 ), Dist( 70 ), 2015-11-26 17:53:55
step 640, training accuracy 0.98 , Light( 15 ), Dist( 70 ), 2015-11-26 17:54:09
step 650, training accuracy 0.94 , Light( 15 ), Dist( 70 ), 2015-11-26 17:54:24
step 660, training accuracy 0.94 , Light( 15 ), Dist( 70 ), 2015-11-26 17:54:38
step 670, training accuracy 0.92 , Light( 15 ), Dist( 70 ), 2015-11-26 17:54:52
step 680, training accuracy 0.98 , Light( 15 ), Dist( 70 ), 2015-11-26 17:55:07
step 690, training accuracy 0.96 , Light( 15 ), Dist( 70 ), 2015-11-26 17:55:21
step 700, training accuracy 0.96 , Light( 15 ), Dist( 70 ), 2015-11-26 17:55:35
step 710, training accuracy 0.98 , Light( 15 ), Dist( 70 ), 2015-11-26 17:55:50
step 720, training accuracy 0.92 , Light( 15 ), Dist( 70 ), 2015-11-26 17:56:04
step 730, training accuracy 0.96 , Light( 15 ), Dist( 70 ), 2015-11-26 17:56:19
step 740, training accuracy 0.98 , Light( 15 ), Dist( 70 ), 2015-11-26 17:56:33
step 750, training accuracy 0.96 , Light( 15 ), Dist( 70 ), 2015-11-26 17:56:48
step 760, training accuracy 1 , Light( 15 ), Dist( 70 ), 2015-11-26 17:57:03
step 770, training accuracy 1 , Light( 15 ), Dist( 70 ), 2015-11-26 17:57:18
step 780, training accuracy 0.96 , Light( 15 ), Dist( 70 ), 2015-11-26 17:57:32
step 790, training accuracy 0.94 , Light( 15 ), Dist( 70 ), 2015-11-26 17:57:46
step 800, training accuracy 0.92 , Light( 15 ), Dist( 70 ), 2015-11-26 17:58:01
step 810, training accuracy 0.98 , Light( 15 ), Dist( 70 ), 2015-11-26 17:58:16
step 820, training accuracy 0.94 , Light( 15 ), Dist( 70 ), 2015-11-26 17:58:31
step 830, training accuracy 0.94 , Light( 15 ), Dist( 70 ), 2015-11-26 17:58:45
step 840, training accuracy 0.98 , Light( 15 ), Dist( 70 ), 2015-11-26 17:59:00
step 850, training accuracy 0.9 , Light( 15 ), Dist( 70 ), 2015-11-26 17:59:14
step 860, training accuracy 0.96 , Light( 15 ), Dist( 70 ), 2015-11-26 17:59:29
step 870, training accuracy 0.96 , Light( 15 ), Dist( 70 ), 2015-11-26 17:59:43
step 880, training accuracy 0.96 , Light( 15 ), Dist( 70 ), 2015-11-26 17:59:58
