Extracting  10000  images.
Extracting  10000  labels
Extracting  1000  images.
Extracting  1000  labels
step 0, training accuracy 0.06 , Light( 15 ), Dist( 140 ), 2015-11-26 17:08:12
step 10, training accuracy 0.18 , Light( 15 ), Dist( 140 ), 2015-11-26 17:08:20
step 20, training accuracy 0.08 , Light( 15 ), Dist( 140 ), 2015-11-26 17:08:28
step 30, training accuracy 0.32 , Light( 15 ), Dist( 140 ), 2015-11-26 17:08:35
step 40, training accuracy 0.2 , Light( 15 ), Dist( 140 ), 2015-11-26 17:08:42
step 50, training accuracy 0.32 , Light( 15 ), Dist( 140 ), 2015-11-26 17:08:50
step 60, training accuracy 0.38 , Light( 15 ), Dist( 140 ), 2015-11-26 17:08:57
step 70, training accuracy 0.48 , Light( 15 ), Dist( 140 ), 2015-11-26 17:09:04
step 80, training accuracy 0.44 , Light( 15 ), Dist( 140 ), 2015-11-26 17:09:12
step 90, training accuracy 0.38 , Light( 15 ), Dist( 140 ), 2015-11-26 17:09:19
step 100, training accuracy 0.36 , Light( 15 ), Dist( 140 ), 2015-11-26 17:09:26
step 110, training accuracy 0.54 , Light( 15 ), Dist( 140 ), 2015-11-26 17:09:34
step 120, training accuracy 0.62 , Light( 15 ), Dist( 140 ), 2015-11-26 17:09:41
step 130, training accuracy 0.6 , Light( 15 ), Dist( 140 ), 2015-11-26 17:09:48
step 140, training accuracy 0.72 , Light( 15 ), Dist( 140 ), 2015-11-26 17:09:56
step 150, training accuracy 0.62 , Light( 15 ), Dist( 140 ), 2015-11-26 17:10:03
step 160, training accuracy 0.72 , Light( 15 ), Dist( 140 ), 2015-11-26 17:10:11
step 170, training accuracy 0.66 , Light( 15 ), Dist( 140 ), 2015-11-26 17:10:18
step 180, training accuracy 0.62 , Light( 15 ), Dist( 140 ), 2015-11-26 17:10:25
step 190, training accuracy 0.74 , Light( 15 ), Dist( 140 ), 2015-11-26 17:10:33
step 200, training accuracy 0.56 , Light( 15 ), Dist( 140 ), 2015-11-26 17:10:40
step 210, training accuracy 0.62 , Light( 15 ), Dist( 140 ), 2015-11-26 17:10:48
step 220, training accuracy 0.76 , Light( 15 ), Dist( 140 ), 2015-11-26 17:10:55
step 230, training accuracy 0.78 , Light( 15 ), Dist( 140 ), 2015-11-26 17:11:03
step 240, training accuracy 0.68 , Light( 15 ), Dist( 140 ), 2015-11-26 17:11:10
step 250, training accuracy 0.68 , Light( 15 ), Dist( 140 ), 2015-11-26 17:11:17
step 260, training accuracy 0.8 , Light( 15 ), Dist( 140 ), 2015-11-26 17:11:25
step 270, training accuracy 0.78 , Light( 15 ), Dist( 140 ), 2015-11-26 17:11:32
step 280, training accuracy 0.74 , Light( 15 ), Dist( 140 ), 2015-11-26 17:11:39
step 290, training accuracy 0.82 , Light( 15 ), Dist( 140 ), 2015-11-26 17:11:47
step 300, training accuracy 0.82 , Light( 15 ), Dist( 140 ), 2015-11-26 17:11:54
step 310, training accuracy 0.64 , Light( 15 ), Dist( 140 ), 2015-11-26 17:12:01
step 320, training accuracy 0.74 , Light( 15 ), Dist( 140 ), 2015-11-26 17:12:09
step 330, training accuracy 0.74 , Light( 15 ), Dist( 140 ), 2015-11-26 17:12:16
step 340, training accuracy 0.82 , Light( 15 ), Dist( 140 ), 2015-11-26 17:12:23
step 350, training accuracy 0.8 , Light( 15 ), Dist( 140 ), 2015-11-26 17:12:31
step 360, training accuracy 0.78 , Light( 15 ), Dist( 140 ), 2015-11-26 17:12:38
step 370, training accuracy 0.72 , Light( 15 ), Dist( 140 ), 2015-11-26 17:12:46
step 380, training accuracy 0.78 , Light( 15 ), Dist( 140 ), 2015-11-26 17:12:53
step 390, training accuracy 0.84 , Light( 15 ), Dist( 140 ), 2015-11-26 17:13:00
step 400, training accuracy 0.8 , Light( 15 ), Dist( 140 ), 2015-11-26 17:13:08
step 410, training accuracy 0.84 , Light( 15 ), Dist( 140 ), 2015-11-26 17:13:15
step 420, training accuracy 0.84 , Light( 15 ), Dist( 140 ), 2015-11-26 17:13:22
step 430, training accuracy 0.72 , Light( 15 ), Dist( 140 ), 2015-11-26 17:13:30
step 440, training accuracy 0.78 , Light( 15 ), Dist( 140 ), 2015-11-26 17:13:37
step 450, training accuracy 0.84 , Light( 15 ), Dist( 140 ), 2015-11-26 17:13:45
step 460, training accuracy 0.8 , Light( 15 ), Dist( 140 ), 2015-11-26 17:13:52
step 470, training accuracy 0.8 , Light( 15 ), Dist( 140 ), 2015-11-26 17:13:59
step 480, training accuracy 0.86 , Light( 15 ), Dist( 140 ), 2015-11-26 17:14:07
step 490, training accuracy 0.86 , Light( 15 ), Dist( 140 ), 2015-11-26 17:14:14
step 500, training accuracy 0.88 , Light( 15 ), Dist( 140 ), 2015-11-26 17:14:21
step 510, training accuracy 0.8 , Light( 15 ), Dist( 140 ), 2015-11-26 17:14:29
