Extracting  10000  images.
Extracting  10000  labels
Extracting  1000  images.
Extracting  1000  labels
step 0, training accuracy 0.18 , Light( 20 ), Dist( 25 ), 2015-11-28 18:33:14
step 10, training accuracy 0.34 , Light( 20 ), Dist( 25 ), 2015-11-28 18:33:25
step 20, training accuracy 0.62 , Light( 20 ), Dist( 25 ), 2015-11-28 18:33:35
step 30, training accuracy 0.7 , Light( 20 ), Dist( 25 ), 2015-11-28 18:33:47
step 40, training accuracy 0.74 , Light( 20 ), Dist( 25 ), 2015-11-28 18:34:00
step 50, training accuracy 0.82 , Light( 20 ), Dist( 25 ), 2015-11-28 18:34:17
step 60, training accuracy 0.8 , Light( 20 ), Dist( 25 ), 2015-11-28 18:34:34
step 70, training accuracy 0.82 , Light( 20 ), Dist( 25 ), 2015-11-28 18:34:51
step 80, training accuracy 0.84 , Light( 20 ), Dist( 25 ), 2015-11-28 18:35:08
step 90, training accuracy 0.86 , Light( 20 ), Dist( 25 ), 2015-11-28 18:35:25
step 100, training accuracy 0.84 , Light( 20 ), Dist( 25 ), 2015-11-28 18:35:42
step 110, training accuracy 0.88 , Light( 20 ), Dist( 25 ), 2015-11-28 18:35:58
step 120, training accuracy 0.88 , Light( 20 ), Dist( 25 ), 2015-11-28 18:36:16
step 130, training accuracy 0.94 , Light( 20 ), Dist( 25 ), 2015-11-28 18:36:33
step 140, training accuracy 0.98 , Light( 20 ), Dist( 25 ), 2015-11-28 18:36:50
step 150, training accuracy 0.88 , Light( 20 ), Dist( 25 ), 2015-11-28 18:37:08
step 160, training accuracy 0.86 , Light( 20 ), Dist( 25 ), 2015-11-28 18:37:25
step 170, training accuracy 0.9 , Light( 20 ), Dist( 25 ), 2015-11-28 18:37:42
step 180, training accuracy 0.9 , Light( 20 ), Dist( 25 ), 2015-11-28 18:37:58
step 190, training accuracy 0.94 , Light( 20 ), Dist( 25 ), 2015-11-28 18:38:17
step 200, training accuracy 0.9 , Light( 20 ), Dist( 25 ), 2015-11-28 18:38:33
step 210, training accuracy 0.84 , Light( 20 ), Dist( 25 ), 2015-11-28 18:38:51
