Extracting  10000  images.
Extracting  10000  labels
Extracting  1000  images.
Extracting  1000  labels
step 680, training accuracy 0.98 , Light( 30 ), Dist( 50 ), 2015-11-28 18:53:35
step 690, training accuracy 0.96 , Light( 30 ), Dist( 50 ), 2015-11-28 18:53:50
step 700, training accuracy 0.96 , Light( 30 ), Dist( 50 ), 2015-11-28 18:54:04
step 710, training accuracy 0.94 , Light( 30 ), Dist( 50 ), 2015-11-28 18:54:19
step 720, training accuracy 0.98 , Light( 30 ), Dist( 50 ), 2015-11-28 18:54:37
step 730, training accuracy 1 , Light( 30 ), Dist( 50 ), 2015-11-28 18:54:53
step 740, training accuracy 0.96 , Light( 30 ), Dist( 50 ), 2015-11-28 18:55:09
step 750, training accuracy 1 , Light( 30 ), Dist( 50 ), 2015-11-28 18:55:25
step 760, training accuracy 0.96 , Light( 30 ), Dist( 50 ), 2015-11-28 18:55:43
step 770, training accuracy 0.96 , Light( 30 ), Dist( 50 ), 2015-11-28 18:55:59
step 780, training accuracy 0.94 , Light( 30 ), Dist( 50 ), 2015-11-28 18:56:16
step 790, training accuracy 0.94 , Light( 30 ), Dist( 50 ), 2015-11-28 18:56:32
step 800, training accuracy 0.94 , Light( 30 ), Dist( 50 ), 2015-11-28 18:56:49
step 810, training accuracy 0.96 , Light( 30 ), Dist( 50 ), 2015-11-28 18:57:05
step 820, training accuracy 0.96 , Light( 30 ), Dist( 50 ), 2015-11-28 18:57:22
step 830, training accuracy 0.98 , Light( 30 ), Dist( 50 ), 2015-11-28 18:57:39
step 840, training accuracy 0.96 , Light( 30 ), Dist( 50 ), 2015-11-28 18:57:56
step 850, training accuracy 0.92 , Light( 30 ), Dist( 50 ), 2015-11-28 18:58:13
step 860, training accuracy 0.92 , Light( 30 ), Dist( 50 ), 2015-11-28 18:58:31
step 870, training accuracy 1 , Light( 30 ), Dist( 50 ), 2015-11-28 18:58:48
step 880, training accuracy 0.96 , Light( 30 ), Dist( 50 ), 2015-11-28 18:59:04
step 890, training accuracy 0.98 , Light( 30 ), Dist( 50 ), 2015-11-28 18:59:21
step 900, training accuracy 1 , Light( 30 ), Dist( 50 ), 2015-11-28 18:59:38
step 910, training accuracy 0.96 , Light( 30 ), Dist( 50 ), 2015-11-28 18:59:55
step 920, training accuracy 0.96 , Light( 30 ), Dist( 50 ), 2015-11-28 19:00:12
step 930, training accuracy 0.96 , Light( 30 ), Dist( 50 ), 2015-11-28 19:00:29
step 940, training accuracy 0.98 , Light( 30 ), Dist( 50 ), 2015-11-28 19:00:46
step 950, training accuracy 0.96 , Light( 30 ), Dist( 50 ), 2015-11-28 19:01:02
step 960, training accuracy 0.96 , Light( 30 ), Dist( 50 ), 2015-11-28 19:01:19
step 970, training accuracy 0.98 , Light( 30 ), Dist( 50 ), 2015-11-28 19:01:35
