Extracting  10000  images.
Extracting  10000  labels
Extracting  1000  images.
Extracting  1000  labels
step 0, training accuracy 0.12 , Light( 20 ), Dist( 100 ), 2015-11-29 06:49:43
step 10, training accuracy 0.18 , Light( 20 ), Dist( 100 ), 2015-11-29 06:49:52
step 20, training accuracy 0.14 , Light( 20 ), Dist( 100 ), 2015-11-29 06:50:01
step 30, training accuracy 0.24 , Light( 20 ), Dist( 100 ), 2015-11-29 06:50:11
step 40, training accuracy 0.3 , Light( 20 ), Dist( 100 ), 2015-11-29 06:50:20
step 50, training accuracy 0.42 , Light( 20 ), Dist( 100 ), 2015-11-29 06:50:29
step 60, training accuracy 0.52 , Light( 20 ), Dist( 100 ), 2015-11-29 06:50:39
step 70, training accuracy 0.58 , Light( 20 ), Dist( 100 ), 2015-11-29 06:50:48
step 80, training accuracy 0.58 , Light( 20 ), Dist( 100 ), 2015-11-29 06:50:58
step 90, training accuracy 0.7 , Light( 20 ), Dist( 100 ), 2015-11-29 06:51:07
step 100, training accuracy 0.8 , Light( 20 ), Dist( 100 ), 2015-11-29 06:51:15
step 110, training accuracy 0.72 , Light( 20 ), Dist( 100 ), 2015-11-29 06:51:22
step 120, training accuracy 0.88 , Light( 20 ), Dist( 100 ), 2015-11-29 06:51:29
step 130, training accuracy 0.78 , Light( 20 ), Dist( 100 ), 2015-11-29 06:51:37
step 140, training accuracy 0.76 , Light( 20 ), Dist( 100 ), 2015-11-29 06:51:44
step 150, training accuracy 0.86 , Light( 20 ), Dist( 100 ), 2015-11-29 06:51:51
step 160, training accuracy 0.82 , Light( 20 ), Dist( 100 ), 2015-11-29 06:51:59
step 170, training accuracy 0.9 , Light( 20 ), Dist( 100 ), 2015-11-29 06:52:06
step 180, training accuracy 0.84 , Light( 20 ), Dist( 100 ), 2015-11-29 06:52:13
step 190, training accuracy 0.9 , Light( 20 ), Dist( 100 ), 2015-11-29 06:52:21
step 200, training accuracy 0.84 , Light( 20 ), Dist( 100 ), 2015-11-29 06:52:28
step 210, training accuracy 0.84 , Light( 20 ), Dist( 100 ), 2015-11-29 06:52:36
step 220, training accuracy 0.88 , Light( 20 ), Dist( 100 ), 2015-11-29 06:52:43
step 230, training accuracy 0.86 , Light( 20 ), Dist( 100 ), 2015-11-29 06:52:50
step 240, training accuracy 0.8 , Light( 20 ), Dist( 100 ), 2015-11-29 06:52:58
step 250, training accuracy 0.92 , Light( 20 ), Dist( 100 ), 2015-11-29 06:53:05
step 260, training accuracy 0.94 , Light( 20 ), Dist( 100 ), 2015-11-29 06:53:12
step 270, training accuracy 0.9 , Light( 20 ), Dist( 100 ), 2015-11-29 06:53:20
step 280, training accuracy 0.82 , Light( 20 ), Dist( 100 ), 2015-11-29 06:53:27
step 290, training accuracy 0.86 , Light( 20 ), Dist( 100 ), 2015-11-29 06:53:34
step 300, training accuracy 0.92 , Light( 20 ), Dist( 100 ), 2015-11-29 06:53:41
step 310, training accuracy 0.88 , Light( 20 ), Dist( 100 ), 2015-11-29 06:53:49
step 320, training accuracy 0.84 , Light( 20 ), Dist( 100 ), 2015-11-29 06:53:56
step 330, training accuracy 0.92 , Light( 20 ), Dist( 100 ), 2015-11-29 06:54:03
step 340, training accuracy 0.9 , Light( 20 ), Dist( 100 ), 2015-11-29 06:54:11
step 350, training accuracy 0.88 , Light( 20 ), Dist( 100 ), 2015-11-29 06:54:18
step 360, training accuracy 0.92 , Light( 20 ), Dist( 100 ), 2015-11-29 06:54:25
step 370, training accuracy 0.92 , Light( 20 ), Dist( 100 ), 2015-11-29 06:54:33
