Extracting  10000  images.
Extracting  10000  labels
Extracting  1000  images.
Extracting  1000  labels
step 0, training accuracy 0.1 , Light( 1 ), Dist( 25 ), 2015-11-29 01:07:54
step 10, training accuracy 0.18 , Light( 1 ), Dist( 25 ), 2015-11-29 01:08:23
step 20, training accuracy 0.22 , Light( 1 ), Dist( 25 ), 2015-11-29 01:08:44
step 30, training accuracy 0.18 , Light( 1 ), Dist( 25 ), 2015-11-29 01:09:12
step 40, training accuracy 0.2 , Light( 1 ), Dist( 25 ), 2015-11-29 01:09:34
step 50, training accuracy 0.26 , Light( 1 ), Dist( 25 ), 2015-11-29 01:09:59
step 60, training accuracy 0.3 , Light( 1 ), Dist( 25 ), 2015-11-29 01:10:24
step 70, training accuracy 0.34 , Light( 1 ), Dist( 25 ), 2015-11-29 01:10:45
step 80, training accuracy 0.4 , Light( 1 ), Dist( 25 ), 2015-11-29 01:11:09
step 90, training accuracy 0.44 , Light( 1 ), Dist( 25 ), 2015-11-29 01:11:31
step 100, training accuracy 0.44 , Light( 1 ), Dist( 25 ), 2015-11-29 01:11:52
step 110, training accuracy 0.54 , Light( 1 ), Dist( 25 ), 2015-11-29 01:12:15
step 120, training accuracy 0.66 , Light( 1 ), Dist( 25 ), 2015-11-29 01:12:38
step 130, training accuracy 0.42 , Light( 1 ), Dist( 25 ), 2015-11-29 01:13:02
step 140, training accuracy 0.52 , Light( 1 ), Dist( 25 ), 2015-11-29 01:13:25
step 150, training accuracy 0.44 , Light( 1 ), Dist( 25 ), 2015-11-29 01:13:49
step 160, training accuracy 0.6 , Light( 1 ), Dist( 25 ), 2015-11-29 01:14:12
step 170, training accuracy 0.6 , Light( 1 ), Dist( 25 ), 2015-11-29 01:14:34
step 180, training accuracy 0.62 , Light( 1 ), Dist( 25 ), 2015-11-29 01:14:58
step 190, training accuracy 0.74 , Light( 1 ), Dist( 25 ), 2015-11-29 01:15:17
step 200, training accuracy 0.8 , Light( 1 ), Dist( 25 ), 2015-11-29 01:15:36
step 210, training accuracy 0.7 , Light( 1 ), Dist( 25 ), 2015-11-29 01:15:57
step 220, training accuracy 0.82 , Light( 1 ), Dist( 25 ), 2015-11-29 01:16:17
step 230, training accuracy 0.72 , Light( 1 ), Dist( 25 ), 2015-11-29 01:16:40
step 240, training accuracy 0.68 , Light( 1 ), Dist( 25 ), 2015-11-29 01:17:03
step 250, training accuracy 0.7 , Light( 1 ), Dist( 25 ), 2015-11-29 01:17:25
step 260, training accuracy 0.72 , Light( 1 ), Dist( 25 ), 2015-11-29 01:17:47
step 270, training accuracy 0.68 , Light( 1 ), Dist( 25 ), 2015-11-29 01:18:06
step 280, training accuracy 0.7 , Light( 1 ), Dist( 25 ), 2015-11-29 01:18:28
step 290, training accuracy 0.8 , Light( 1 ), Dist( 25 ), 2015-11-29 01:18:51
step 300, training accuracy 0.9 , Light( 1 ), Dist( 25 ), 2015-11-29 01:19:13
step 310, training accuracy 0.82 , Light( 1 ), Dist( 25 ), 2015-11-29 01:19:36
step 320, training accuracy 0.8 , Light( 1 ), Dist( 25 ), 2015-11-29 01:19:58
step 330, training accuracy 0.8 , Light( 1 ), Dist( 25 ), 2015-11-29 01:20:20
step 340, training accuracy 0.66 , Light( 1 ), Dist( 25 ), 2015-11-29 01:20:41
step 350, training accuracy 0.72 , Light( 1 ), Dist( 25 ), 2015-11-29 01:21:03
step 360, training accuracy 0.74 , Light( 1 ), Dist( 25 ), 2015-11-29 01:21:26
step 370, training accuracy 0.9 , Light( 1 ), Dist( 25 ), 2015-11-29 01:21:54
step 380, training accuracy 0.82 , Light( 1 ), Dist( 25 ), 2015-11-29 01:22:14
step 390, training accuracy 0.78 , Light( 1 ), Dist( 25 ), 2015-11-29 01:22:36
step 400, training accuracy 0.74 , Light( 1 ), Dist( 25 ), 2015-11-29 01:22:59
step 410, training accuracy 0.76 , Light( 1 ), Dist( 25 ), 2015-11-29 01:23:20
step 420, training accuracy 0.74 , Light( 1 ), Dist( 25 ), 2015-11-29 01:23:46
step 430, training accuracy 0.88 , Light( 1 ), Dist( 25 ), 2015-11-29 01:24:06
step 440, training accuracy 0.82 , Light( 1 ), Dist( 25 ), 2015-11-29 01:24:30
step 450, training accuracy 0.82 , Light( 1 ), Dist( 25 ), 2015-11-29 01:24:54
step 460, training accuracy 0.68 , Light( 1 ), Dist( 25 ), 2015-11-29 01:25:15
step 470, training accuracy 0.82 , Light( 1 ), Dist( 25 ), 2015-11-29 01:25:39
step 480, training accuracy 0.9 , Light( 1 ), Dist( 25 ), 2015-11-29 01:26:03
step 490, training accuracy 0.7 , Light( 1 ), Dist( 25 ), 2015-11-29 01:26:23
step 500, training accuracy 0.86 , Light( 1 ), Dist( 25 ), 2015-11-29 01:26:45
step 510, training accuracy 0.92 , Light( 1 ), Dist( 25 ), 2015-11-29 01:27:05
step 520, training accuracy 0.84 , Light( 1 ), Dist( 25 ), 2015-11-29 01:27:28
step 530, training accuracy 0.8 , Light( 1 ), Dist( 25 ), 2015-11-29 01:27:52
step 540, training accuracy 0.84 , Light( 1 ), Dist( 25 ), 2015-11-29 01:28:14
step 550, training accuracy 0.94 , Light( 1 ), Dist( 25 ), 2015-11-29 01:28:44
step 560, training accuracy 0.82 , Light( 1 ), Dist( 25 ), 2015-11-29 01:29:09
step 570, training accuracy 0.82 , Light( 1 ), Dist( 25 ), 2015-11-29 01:29:32
step 580, training accuracy 0.84 , Light( 1 ), Dist( 25 ), 2015-11-29 01:29:55
step 590, training accuracy 0.88 , Light( 1 ), Dist( 25 ), 2015-11-29 01:30:18
step 600, training accuracy 0.84 , Light( 1 ), Dist( 25 ), 2015-11-29 01:30:40
step 610, training accuracy 0.94 , Light( 1 ), Dist( 25 ), 2015-11-29 01:31:00
step 620, training accuracy 0.84 , Light( 1 ), Dist( 25 ), 2015-11-29 01:31:23
step 630, training accuracy 0.88 , Light( 1 ), Dist( 25 ), 2015-11-29 01:31:48
step 640, training accuracy 0.84 , Light( 1 ), Dist( 25 ), 2015-11-29 01:32:09
step 650, training accuracy 0.82 , Light( 1 ), Dist( 25 ), 2015-11-29 01:32:30
step 660, training accuracy 0.76 , Light( 1 ), Dist( 25 ), 2015-11-29 01:32:52
step 670, training accuracy 0.84 , Light( 1 ), Dist( 25 ), 2015-11-29 01:33:12
step 680, training accuracy 0.9 , Light( 1 ), Dist( 25 ), 2015-11-29 01:33:34
step 690, training accuracy 0.8 , Light( 1 ), Dist( 25 ), 2015-11-29 01:33:58
