Extracting  10000  images.
Extracting  10000  labels
Extracting  1000  images.
Extracting  1000  labels
step 0, training accuracy 0.16 , Light( 10 ), Dist( 100 ), 2015-11-29 05:30:03
step 10, training accuracy 0.18 , Light( 10 ), Dist( 100 ), 2015-11-29 05:30:10
step 20, training accuracy 0.1 , Light( 10 ), Dist( 100 ), 2015-11-29 05:30:18
step 30, training accuracy 0.3 , Light( 10 ), Dist( 100 ), 2015-11-29 05:30:25
step 40, training accuracy 0.4 , Light( 10 ), Dist( 100 ), 2015-11-29 05:30:32
step 50, training accuracy 0.52 , Light( 10 ), Dist( 100 ), 2015-11-29 05:30:40
step 60, training accuracy 0.5 , Light( 10 ), Dist( 100 ), 2015-11-29 05:30:47
step 70, training accuracy 0.64 , Light( 10 ), Dist( 100 ), 2015-11-29 05:30:54
step 80, training accuracy 0.48 , Light( 10 ), Dist( 100 ), 2015-11-29 05:31:02
step 90, training accuracy 0.68 , Light( 10 ), Dist( 100 ), 2015-11-29 05:31:09
step 100, training accuracy 0.66 , Light( 10 ), Dist( 100 ), 2015-11-29 05:31:16
step 110, training accuracy 0.64 , Light( 10 ), Dist( 100 ), 2015-11-29 05:31:25
step 120, training accuracy 0.68 , Light( 10 ), Dist( 100 ), 2015-11-29 05:31:36
step 130, training accuracy 0.62 , Light( 10 ), Dist( 100 ), 2015-11-29 05:31:46
step 140, training accuracy 0.8 , Light( 10 ), Dist( 100 ), 2015-11-29 05:31:56
step 150, training accuracy 0.78 , Light( 10 ), Dist( 100 ), 2015-11-29 05:32:05
step 160, training accuracy 0.7 , Light( 10 ), Dist( 100 ), 2015-11-29 05:32:15
step 170, training accuracy 0.78 , Light( 10 ), Dist( 100 ), 2015-11-29 05:32:25
step 180, training accuracy 0.7 , Light( 10 ), Dist( 100 ), 2015-11-29 05:32:35
step 190, training accuracy 0.8 , Light( 10 ), Dist( 100 ), 2015-11-29 05:32:44
step 200, training accuracy 0.72 , Light( 10 ), Dist( 100 ), 2015-11-29 05:32:54
step 210, training accuracy 0.8 , Light( 10 ), Dist( 100 ), 2015-11-29 05:33:04
step 220, training accuracy 0.76 , Light( 10 ), Dist( 100 ), 2015-11-29 05:33:13
step 230, training accuracy 0.68 , Light( 10 ), Dist( 100 ), 2015-11-29 05:33:23
step 240, training accuracy 0.86 , Light( 10 ), Dist( 100 ), 2015-11-29 05:33:33
step 250, training accuracy 0.78 , Light( 10 ), Dist( 100 ), 2015-11-29 05:33:42
step 260, training accuracy 0.82 , Light( 10 ), Dist( 100 ), 2015-11-29 05:33:52
step 270, training accuracy 0.76 , Light( 10 ), Dist( 100 ), 2015-11-29 05:34:02
step 280, training accuracy 0.8 , Light( 10 ), Dist( 100 ), 2015-11-29 05:34:11
step 290, training accuracy 0.84 , Light( 10 ), Dist( 100 ), 2015-11-29 05:34:21
step 300, training accuracy 0.9 , Light( 10 ), Dist( 100 ), 2015-11-29 05:34:31
step 310, training accuracy 0.88 , Light( 10 ), Dist( 100 ), 2015-11-29 05:34:40
step 320, training accuracy 0.8 , Light( 10 ), Dist( 100 ), 2015-11-29 05:34:50
step 330, training accuracy 0.82 , Light( 10 ), Dist( 100 ), 2015-11-29 05:34:59
step 340, training accuracy 0.78 , Light( 10 ), Dist( 100 ), 2015-11-29 05:35:09
step 350, training accuracy 0.86 , Light( 10 ), Dist( 100 ), 2015-11-29 05:35:19
step 360, training accuracy 0.86 , Light( 10 ), Dist( 100 ), 2015-11-29 05:35:28
step 370, training accuracy 0.84 , Light( 10 ), Dist( 100 ), 2015-11-29 05:35:38
step 380, training accuracy 0.86 , Light( 10 ), Dist( 100 ), 2015-11-29 05:35:48
step 390, training accuracy 0.8 , Light( 10 ), Dist( 100 ), 2015-11-29 05:35:57
step 400, training accuracy 0.94 , Light( 10 ), Dist( 100 ), 2015-11-29 05:36:07
step 410, training accuracy 0.88 , Light( 10 ), Dist( 100 ), 2015-11-29 05:36:17
step 420, training accuracy 0.86 , Light( 10 ), Dist( 100 ), 2015-11-29 05:36:26
step 430, training accuracy 0.96 , Light( 10 ), Dist( 100 ), 2015-11-29 05:36:36
step 440, training accuracy 0.92 , Light( 10 ), Dist( 100 ), 2015-11-29 05:36:46
step 450, training accuracy 0.96 , Light( 10 ), Dist( 100 ), 2015-11-29 05:36:55
step 460, training accuracy 0.76 , Light( 10 ), Dist( 100 ), 2015-11-29 05:37:05
step 470, training accuracy 0.88 , Light( 10 ), Dist( 100 ), 2015-11-29 05:37:15
step 480, training accuracy 0.86 , Light( 10 ), Dist( 100 ), 2015-11-29 05:37:24
step 490, training accuracy 0.86 , Light( 10 ), Dist( 100 ), 2015-11-29 05:37:34
step 500, training accuracy 0.9 , Light( 10 ), Dist( 100 ), 2015-11-29 05:37:44
step 510, training accuracy 0.96 , Light( 10 ), Dist( 100 ), 2015-11-29 05:37:53
step 520, training accuracy 0.9 , Light( 10 ), Dist( 100 ), 2015-11-29 05:38:03
step 530, training accuracy 0.88 , Light( 10 ), Dist( 100 ), 2015-11-29 05:38:13
step 540, training accuracy 0.86 , Light( 10 ), Dist( 100 ), 2015-11-29 05:38:22
step 550, training accuracy 0.86 , Light( 10 ), Dist( 100 ), 2015-11-29 05:38:32
