Extracting  10000  images.
Extracting  10000  labels
Extracting  1000  images.
Extracting  1000  labels
step 0, training accuracy 0.18 , Light( 20 ), Dist( 50 ), 2015-11-28 21:08:57
step 10, training accuracy 0.34 , Light( 20 ), Dist( 50 ), 2015-11-28 21:09:15
step 20, training accuracy 0.42 , Light( 20 ), Dist( 50 ), 2015-11-28 21:09:32
step 30, training accuracy 0.52 , Light( 20 ), Dist( 50 ), 2015-11-28 21:09:49
step 40, training accuracy 0.7 , Light( 20 ), Dist( 50 ), 2015-11-28 21:10:06
step 50, training accuracy 0.66 , Light( 20 ), Dist( 50 ), 2015-11-28 21:10:23
step 60, training accuracy 0.7 , Light( 20 ), Dist( 50 ), 2015-11-28 21:10:40
step 70, training accuracy 0.82 , Light( 20 ), Dist( 50 ), 2015-11-28 21:10:57
step 80, training accuracy 0.76 , Light( 20 ), Dist( 50 ), 2015-11-28 21:11:15
step 90, training accuracy 0.76 , Light( 20 ), Dist( 50 ), 2015-11-28 21:11:32
step 100, training accuracy 0.7 , Light( 20 ), Dist( 50 ), 2015-11-28 21:11:43
step 110, training accuracy 0.84 , Light( 20 ), Dist( 50 ), 2015-11-28 21:11:54
step 120, training accuracy 0.94 , Light( 20 ), Dist( 50 ), 2015-11-28 21:12:05
step 130, training accuracy 0.82 , Light( 20 ), Dist( 50 ), 2015-11-28 21:12:16
step 140, training accuracy 0.88 , Light( 20 ), Dist( 50 ), 2015-11-28 21:12:27
step 150, training accuracy 0.9 , Light( 20 ), Dist( 50 ), 2015-11-28 21:12:37
step 160, training accuracy 0.9 , Light( 20 ), Dist( 50 ), 2015-11-28 21:12:47
step 170, training accuracy 0.86 , Light( 20 ), Dist( 50 ), 2015-11-28 21:12:58
step 180, training accuracy 0.86 , Light( 20 ), Dist( 50 ), 2015-11-28 21:13:08
step 190, training accuracy 0.96 , Light( 20 ), Dist( 50 ), 2015-11-28 21:13:19
step 200, training accuracy 0.96 , Light( 20 ), Dist( 50 ), 2015-11-28 21:13:29
step 210, training accuracy 0.9 , Light( 20 ), Dist( 50 ), 2015-11-28 21:13:40
step 220, training accuracy 0.92 , Light( 20 ), Dist( 50 ), 2015-11-28 21:13:50
step 230, training accuracy 0.94 , Light( 20 ), Dist( 50 ), 2015-11-28 21:14:01
step 240, training accuracy 0.88 , Light( 20 ), Dist( 50 ), 2015-11-28 21:14:12
step 250, training accuracy 0.94 , Light( 20 ), Dist( 50 ), 2015-11-28 21:14:23
step 260, training accuracy 0.92 , Light( 20 ), Dist( 50 ), 2015-11-28 21:14:34
step 270, training accuracy 0.9 , Light( 20 ), Dist( 50 ), 2015-11-28 21:14:44
step 280, training accuracy 0.94 , Light( 20 ), Dist( 50 ), 2015-11-28 21:14:56
step 290, training accuracy 0.94 , Light( 20 ), Dist( 50 ), 2015-11-28 21:15:06
step 300, training accuracy 0.96 , Light( 20 ), Dist( 50 ), 2015-11-28 21:15:17
step 310, training accuracy 0.88 , Light( 20 ), Dist( 50 ), 2015-11-28 21:15:29
step 320, training accuracy 0.98 , Light( 20 ), Dist( 50 ), 2015-11-28 21:15:40
step 330, training accuracy 0.88 , Light( 20 ), Dist( 50 ), 2015-11-28 21:15:51
step 340, training accuracy 0.92 , Light( 20 ), Dist( 50 ), 2015-11-28 21:16:02
step 350, training accuracy 0.98 , Light( 20 ), Dist( 50 ), 2015-11-28 21:16:12
step 360, training accuracy 0.92 , Light( 20 ), Dist( 50 ), 2015-11-28 21:16:23
step 370, training accuracy 0.92 , Light( 20 ), Dist( 50 ), 2015-11-28 21:16:33
step 380, training accuracy 0.98 , Light( 20 ), Dist( 50 ), 2015-11-28 21:16:45
step 390, training accuracy 0.94 , Light( 20 ), Dist( 50 ), 2015-11-28 21:16:56
step 400, training accuracy 0.9 , Light( 20 ), Dist( 50 ), 2015-11-28 21:17:07
step 410, training accuracy 1 , Light( 20 ), Dist( 50 ), 2015-11-28 21:17:18
step 420, training accuracy 0.98 , Light( 20 ), Dist( 50 ), 2015-11-28 21:17:29
step 430, training accuracy 0.94 , Light( 20 ), Dist( 50 ), 2015-11-28 21:17:41
step 440, training accuracy 0.98 , Light( 20 ), Dist( 50 ), 2015-11-28 21:17:50
step 450, training accuracy 0.94 , Light( 20 ), Dist( 50 ), 2015-11-28 21:18:02
step 460, training accuracy 0.9 , Light( 20 ), Dist( 50 ), 2015-11-28 21:18:14
step 470, training accuracy 0.98 , Light( 20 ), Dist( 50 ), 2015-11-28 21:18:25
step 480, training accuracy 0.96 , Light( 20 ), Dist( 50 ), 2015-11-28 21:18:36
step 490, training accuracy 0.96 , Light( 20 ), Dist( 50 ), 2015-11-28 21:18:47
step 500, training accuracy 0.96 , Light( 20 ), Dist( 50 ), 2015-11-28 21:18:58
