Extracting  10000  images.
Extracting  10000  labels
Extracting  1000  images.
Extracting  1000  labels
step 0, training accuracy 0.18 , Light( 30 ), Dist( 100 ), 2015-11-29 07:51:25
step 10, training accuracy 0.08 , Light( 30 ), Dist( 100 ), 2015-11-29 07:51:33
step 20, training accuracy 0.26 , Light( 30 ), Dist( 100 ), 2015-11-29 07:51:40
step 30, training accuracy 0.38 , Light( 30 ), Dist( 100 ), 2015-11-29 07:51:47
step 40, training accuracy 0.58 , Light( 30 ), Dist( 100 ), 2015-11-29 07:51:55
step 50, training accuracy 0.54 , Light( 30 ), Dist( 100 ), 2015-11-29 07:52:02
step 60, training accuracy 0.5 , Light( 30 ), Dist( 100 ), 2015-11-29 07:52:09
step 70, training accuracy 0.84 , Light( 30 ), Dist( 100 ), 2015-11-29 07:52:17
step 80, training accuracy 0.86 , Light( 30 ), Dist( 100 ), 2015-11-29 07:52:24
step 90, training accuracy 0.82 , Light( 30 ), Dist( 100 ), 2015-11-29 07:52:31
step 100, training accuracy 0.82 , Light( 30 ), Dist( 100 ), 2015-11-29 07:52:39
step 110, training accuracy 0.78 , Light( 30 ), Dist( 100 ), 2015-11-29 07:52:46
step 120, training accuracy 0.88 , Light( 30 ), Dist( 100 ), 2015-11-29 07:52:54
step 130, training accuracy 0.9 , Light( 30 ), Dist( 100 ), 2015-11-29 07:53:01
step 140, training accuracy 0.88 , Light( 30 ), Dist( 100 ), 2015-11-29 07:53:08
step 150, training accuracy 0.92 , Light( 30 ), Dist( 100 ), 2015-11-29 07:53:15
step 160, training accuracy 0.96 , Light( 30 ), Dist( 100 ), 2015-11-29 07:53:23
step 170, training accuracy 0.84 , Light( 30 ), Dist( 100 ), 2015-11-29 07:53:31
step 180, training accuracy 0.82 , Light( 30 ), Dist( 100 ), 2015-11-29 07:53:38
step 190, training accuracy 0.9 , Light( 30 ), Dist( 100 ), 2015-11-29 07:53:45
step 200, training accuracy 0.9 , Light( 30 ), Dist( 100 ), 2015-11-29 07:53:53
step 210, training accuracy 0.9 , Light( 30 ), Dist( 100 ), 2015-11-29 07:54:00
step 220, training accuracy 0.88 , Light( 30 ), Dist( 100 ), 2015-11-29 07:54:07
step 230, training accuracy 0.92 , Light( 30 ), Dist( 100 ), 2015-11-29 07:54:15
step 240, training accuracy 0.88 , Light( 30 ), Dist( 100 ), 2015-11-29 07:54:22
step 250, training accuracy 0.82 , Light( 30 ), Dist( 100 ), 2015-11-29 07:54:29
step 260, training accuracy 0.96 , Light( 30 ), Dist( 100 ), 2015-11-29 07:54:37
step 270, training accuracy 0.92 , Light( 30 ), Dist( 100 ), 2015-11-29 07:54:44
step 280, training accuracy 0.92 , Light( 30 ), Dist( 100 ), 2015-11-29 07:54:51
step 290, training accuracy 1 , Light( 30 ), Dist( 100 ), 2015-11-29 07:54:59
step 300, training accuracy 0.92 , Light( 30 ), Dist( 100 ), 2015-11-29 07:55:06
step 310, training accuracy 0.98 , Light( 30 ), Dist( 100 ), 2015-11-29 07:55:13
step 320, training accuracy 0.96 , Light( 30 ), Dist( 100 ), 2015-11-29 07:55:21
step 330, training accuracy 0.9 , Light( 30 ), Dist( 100 ), 2015-11-29 07:55:28
step 340, training accuracy 0.96 , Light( 30 ), Dist( 100 ), 2015-11-29 07:55:35
step 350, training accuracy 0.92 , Light( 30 ), Dist( 100 ), 2015-11-29 07:55:43
step 360, training accuracy 0.92 , Light( 30 ), Dist( 100 ), 2015-11-29 07:55:50
step 370, training accuracy 0.88 , Light( 30 ), Dist( 100 ), 2015-11-29 07:55:57
step 380, training accuracy 0.94 , Light( 30 ), Dist( 100 ), 2015-11-29 07:56:05
step 390, training accuracy 0.96 , Light( 30 ), Dist( 100 ), 2015-11-29 07:56:12
step 400, training accuracy 0.96 , Light( 30 ), Dist( 100 ), 2015-11-29 07:56:19
step 410, training accuracy 0.94 , Light( 30 ), Dist( 100 ), 2015-11-29 07:56:26
step 420, training accuracy 0.92 , Light( 30 ), Dist( 100 ), 2015-11-29 07:56:34
step 430, training accuracy 0.96 , Light( 30 ), Dist( 100 ), 2015-11-29 07:56:41
step 440, training accuracy 0.94 , Light( 30 ), Dist( 100 ), 2015-11-29 07:56:48
step 450, training accuracy 0.92 , Light( 30 ), Dist( 100 ), 2015-11-29 07:56:56
step 460, training accuracy 0.92 , Light( 30 ), Dist( 100 ), 2015-11-29 07:57:03
step 470, training accuracy 0.92 , Light( 30 ), Dist( 100 ), 2015-11-29 07:57:10
step 480, training accuracy 0.92 , Light( 30 ), Dist( 100 ), 2015-11-29 07:57:18
step 490, training accuracy 0.94 , Light( 30 ), Dist( 100 ), 2015-11-29 07:57:25
step 500, training accuracy 0.94 , Light( 30 ), Dist( 100 ), 2015-11-29 07:57:32
step 510, training accuracy 0.9 , Light( 30 ), Dist( 100 ), 2015-11-29 07:57:40
step 520, training accuracy 1 , Light( 30 ), Dist( 100 ), 2015-11-29 07:57:47
step 530, training accuracy 0.9 , Light( 30 ), Dist( 100 ), 2015-11-29 07:57:54
step 540, training accuracy 0.94 , Light( 30 ), Dist( 100 ), 2015-11-29 07:58:02
step 550, training accuracy 1 , Light( 30 ), Dist( 100 ), 2015-11-29 07:58:09
step 560, training accuracy 0.96 , Light( 30 ), Dist( 100 ), 2015-11-29 07:58:16
step 570, training accuracy 0.96 , Light( 30 ), Dist( 100 ), 2015-11-29 07:58:24
step 580, training accuracy 0.92 , Light( 30 ), Dist( 100 ), 2015-11-29 07:58:31
step 590, training accuracy 0.82 , Light( 30 ), Dist( 100 ), 2015-11-29 07:58:38
step 600, training accuracy 0.9 , Light( 30 ), Dist( 100 ), 2015-11-29 07:58:45
step 610, training accuracy 0.94 , Light( 30 ), Dist( 100 ), 2015-11-29 07:58:53
step 620, training accuracy 0.96 , Light( 30 ), Dist( 100 ), 2015-11-29 07:59:00
step 630, training accuracy 0.96 , Light( 30 ), Dist( 100 ), 2015-11-29 07:59:07
step 640, training accuracy 0.94 , Light( 30 ), Dist( 100 ), 2015-11-29 07:59:15
step 650, training accuracy 0.98 , Light( 30 ), Dist( 100 ), 2015-11-29 07:59:22
step 660, training accuracy 0.98 , Light( 30 ), Dist( 100 ), 2015-11-29 07:59:29
step 670, training accuracy 0.96 , Light( 30 ), Dist( 100 ), 2015-11-29 07:59:37
step 680, training accuracy 0.88 , Light( 30 ), Dist( 100 ), 2015-11-29 07:59:44
step 690, training accuracy 0.94 , Light( 30 ), Dist( 100 ), 2015-11-29 07:59:51
step 700, training accuracy 0.98 , Light( 30 ), Dist( 100 ), 2015-11-29 07:59:59
step 710, training accuracy 0.96 , Light( 30 ), Dist( 100 ), 2015-11-29 08:00:06
step 720, training accuracy 0.94 , Light( 30 ), Dist( 100 ), 2015-11-29 08:00:13
step 730, training accuracy 0.94 , Light( 30 ), Dist( 100 ), 2015-11-29 08:00:20
step 740, training accuracy 0.94 , Light( 30 ), Dist( 100 ), 2015-11-29 08:00:28
step 750, training accuracy 0.98 , Light( 30 ), Dist( 100 ), 2015-11-29 08:00:35
step 760, training accuracy 0.98 , Light( 30 ), Dist( 100 ), 2015-11-29 08:00:42
step 770, training accuracy 0.96 , Light( 30 ), Dist( 100 ), 2015-11-29 08:00:50
step 780, training accuracy 0.98 , Light( 30 ), Dist( 100 ), 2015-11-29 08:00:57
step 790, training accuracy 0.96 , Light( 30 ), Dist( 100 ), 2015-11-29 08:01:04
step 800, training accuracy 0.94 , Light( 30 ), Dist( 100 ), 2015-11-29 08:01:12
step 810, training accuracy 0.96 , Light( 30 ), Dist( 100 ), 2015-11-29 08:01:19
step 820, training accuracy 0.98 , Light( 30 ), Dist( 100 ), 2015-11-29 08:01:26
step 830, training accuracy 0.92 , Light( 30 ), Dist( 100 ), 2015-11-29 08:01:34
step 840, training accuracy 0.96 , Light( 30 ), Dist( 100 ), 2015-11-29 08:01:41
step 850, training accuracy 0.98 , Light( 30 ), Dist( 100 ), 2015-11-29 08:01:48
step 860, training accuracy 0.96 , Light( 30 ), Dist( 100 ), 2015-11-29 08:01:55
step 870, training accuracy 0.98 , Light( 30 ), Dist( 100 ), 2015-11-29 08:02:03
step 880, training accuracy 0.96 , Light( 30 ), Dist( 100 ), 2015-11-29 08:02:10
step 890, training accuracy 0.98 , Light( 30 ), Dist( 100 ), 2015-11-29 08:02:17
step 900, training accuracy 0.96 , Light( 30 ), Dist( 100 ), 2015-11-29 08:02:25
step 910, training accuracy 0.98 , Light( 30 ), Dist( 100 ), 2015-11-29 08:02:32
step 920, training accuracy 0.94 , Light( 30 ), Dist( 100 ), 2015-11-29 08:02:39
step 930, training accuracy 0.96 , Light( 30 ), Dist( 100 ), 2015-11-29 08:02:47
step 940, training accuracy 0.96 , Light( 30 ), Dist( 100 ), 2015-11-29 08:02:54
step 950, training accuracy 0.88 , Light( 30 ), Dist( 100 ), 2015-11-29 08:03:01
step 960, training accuracy 0.96 , Light( 30 ), Dist( 100 ), 2015-11-29 08:03:09
step 970, training accuracy 1 , Light( 30 ), Dist( 100 ), 2015-11-29 08:03:16
step 980, training accuracy 1 , Light( 30 ), Dist( 100 ), 2015-11-29 08:03:23
step 990, training accuracy 0.94 , Light( 30 ), Dist( 100 ), 2015-11-29 08:03:31
step 1000, training accuracy 0.96 , Light( 30 ), Dist( 100 ), 2015-11-29 08:03:38
step 1010, training accuracy 0.98 , Light( 30 ), Dist( 100 ), 2015-11-29 08:03:45
step 1020, training accuracy 0.94 , Light( 30 ), Dist( 100 ), 2015-11-29 08:03:53
step 1030, training accuracy 0.94 , Light( 30 ), Dist( 100 ), 2015-11-29 08:04:00
step 1040, training accuracy 0.86 , Light( 30 ), Dist( 100 ), 2015-11-29 08:04:07
step 1050, training accuracy 0.96 , Light( 30 ), Dist( 100 ), 2015-11-29 08:04:15
step 1060, training accuracy 0.98 , Light( 30 ), Dist( 100 ), 2015-11-29 08:04:22
step 1070, training accuracy 0.96 , Light( 30 ), Dist( 100 ), 2015-11-29 08:04:29
step 1080, training accuracy 0.98 , Light( 30 ), Dist( 100 ), 2015-11-29 08:04:37
step 1090, training accuracy 0.9 , Light( 30 ), Dist( 100 ), 2015-11-29 08:04:44
