Extracting  10000  images.
Extracting  10000  labels
Extracting  1000  images.
Extracting  1000  labels
step 0, training accuracy 0.06 , Light( 30 ), Dist( 25 ), 2015-11-29 05:31:23
step 10, training accuracy 0.4 , Light( 30 ), Dist( 25 ), 2015-11-29 05:31:33
step 20, training accuracy 0.52 , Light( 30 ), Dist( 25 ), 2015-11-29 05:31:43
step 30, training accuracy 0.62 , Light( 30 ), Dist( 25 ), 2015-11-29 05:31:53
step 40, training accuracy 0.72 , Light( 30 ), Dist( 25 ), 2015-11-29 05:32:03
step 50, training accuracy 0.9 , Light( 30 ), Dist( 25 ), 2015-11-29 05:32:13
step 60, training accuracy 0.78 , Light( 30 ), Dist( 25 ), 2015-11-29 05:32:22
step 70, training accuracy 0.88 , Light( 30 ), Dist( 25 ), 2015-11-29 05:32:32
step 80, training accuracy 0.82 , Light( 30 ), Dist( 25 ), 2015-11-29 05:32:42
step 90, training accuracy 0.82 , Light( 30 ), Dist( 25 ), 2015-11-29 05:32:51
step 100, training accuracy 0.84 , Light( 30 ), Dist( 25 ), 2015-11-29 05:33:01
step 110, training accuracy 0.88 , Light( 30 ), Dist( 25 ), 2015-11-29 05:33:11
step 120, training accuracy 0.94 , Light( 30 ), Dist( 25 ), 2015-11-29 05:33:20
step 130, training accuracy 0.86 , Light( 30 ), Dist( 25 ), 2015-11-29 05:33:30
step 140, training accuracy 0.86 , Light( 30 ), Dist( 25 ), 2015-11-29 05:33:40
step 150, training accuracy 0.92 , Light( 30 ), Dist( 25 ), 2015-11-29 05:33:49
step 160, training accuracy 0.88 , Light( 30 ), Dist( 25 ), 2015-11-29 05:33:59
step 170, training accuracy 0.96 , Light( 30 ), Dist( 25 ), 2015-11-29 05:34:08
step 180, training accuracy 0.86 , Light( 30 ), Dist( 25 ), 2015-11-29 05:34:18
step 190, training accuracy 0.94 , Light( 30 ), Dist( 25 ), 2015-11-29 05:34:27
step 200, training accuracy 0.94 , Light( 30 ), Dist( 25 ), 2015-11-29 05:34:37
step 210, training accuracy 0.94 , Light( 30 ), Dist( 25 ), 2015-11-29 05:34:47
step 220, training accuracy 0.96 , Light( 30 ), Dist( 25 ), 2015-11-29 05:34:56
step 230, training accuracy 0.92 , Light( 30 ), Dist( 25 ), 2015-11-29 05:35:06
step 240, training accuracy 0.88 , Light( 30 ), Dist( 25 ), 2015-11-29 05:35:15
step 250, training accuracy 0.9 , Light( 30 ), Dist( 25 ), 2015-11-29 05:35:25
step 260, training accuracy 0.9 , Light( 30 ), Dist( 25 ), 2015-11-29 05:35:35
step 270, training accuracy 0.9 , Light( 30 ), Dist( 25 ), 2015-11-29 05:35:44
step 280, training accuracy 0.9 , Light( 30 ), Dist( 25 ), 2015-11-29 05:35:54
step 290, training accuracy 0.96 , Light( 30 ), Dist( 25 ), 2015-11-29 05:36:04
step 300, training accuracy 0.86 , Light( 30 ), Dist( 25 ), 2015-11-29 05:36:13
step 310, training accuracy 0.94 , Light( 30 ), Dist( 25 ), 2015-11-29 05:36:23
step 320, training accuracy 0.92 , Light( 30 ), Dist( 25 ), 2015-11-29 05:36:33
step 330, training accuracy 0.92 , Light( 30 ), Dist( 25 ), 2015-11-29 05:36:42
step 340, training accuracy 0.96 , Light( 30 ), Dist( 25 ), 2015-11-29 05:36:52
step 350, training accuracy 1 , Light( 30 ), Dist( 25 ), 2015-11-29 05:37:01
step 360, training accuracy 1 , Light( 30 ), Dist( 25 ), 2015-11-29 05:37:11
step 370, training accuracy 0.94 , Light( 30 ), Dist( 25 ), 2015-11-29 05:37:21
step 380, training accuracy 0.98 , Light( 30 ), Dist( 25 ), 2015-11-29 05:37:31
step 390, training accuracy 0.94 , Light( 30 ), Dist( 25 ), 2015-11-29 05:37:40
step 400, training accuracy 0.88 , Light( 30 ), Dist( 25 ), 2015-11-29 05:37:50
step 410, training accuracy 1 , Light( 30 ), Dist( 25 ), 2015-11-29 05:38:00
step 420, training accuracy 0.98 , Light( 30 ), Dist( 25 ), 2015-11-29 05:38:09
step 430, training accuracy 0.92 , Light( 30 ), Dist( 25 ), 2015-11-29 05:38:19
step 440, training accuracy 1 , Light( 30 ), Dist( 25 ), 2015-11-29 05:38:29
step 450, training accuracy 0.96 , Light( 30 ), Dist( 25 ), 2015-11-29 05:38:38
step 460, training accuracy 0.96 , Light( 30 ), Dist( 25 ), 2015-11-29 05:38:48
step 470, training accuracy 0.96 , Light( 30 ), Dist( 25 ), 2015-11-29 05:38:57
step 480, training accuracy 0.94 , Light( 30 ), Dist( 25 ), 2015-11-29 05:39:07
step 490, training accuracy 0.94 , Light( 30 ), Dist( 25 ), 2015-11-29 05:39:17
step 500, training accuracy 0.96 , Light( 30 ), Dist( 25 ), 2015-11-29 05:39:26
step 510, training accuracy 0.96 , Light( 30 ), Dist( 25 ), 2015-11-29 05:39:36
step 520, training accuracy 0.92 , Light( 30 ), Dist( 25 ), 2015-11-29 05:39:46
step 530, training accuracy 0.98 , Light( 30 ), Dist( 25 ), 2015-11-29 05:39:56
step 540, training accuracy 0.92 , Light( 30 ), Dist( 25 ), 2015-11-29 05:40:05
step 550, training accuracy 0.96 , Light( 30 ), Dist( 25 ), 2015-11-29 05:40:15
step 560, training accuracy 1 , Light( 30 ), Dist( 25 ), 2015-11-29 05:40:25
step 570, training accuracy 0.96 , Light( 30 ), Dist( 25 ), 2015-11-29 05:40:34
step 580, training accuracy 0.96 , Light( 30 ), Dist( 25 ), 2015-11-29 05:40:44
step 590, training accuracy 0.96 , Light( 30 ), Dist( 25 ), 2015-11-29 05:40:54
step 600, training accuracy 0.98 , Light( 30 ), Dist( 25 ), 2015-11-29 05:41:03
step 610, training accuracy 1 , Light( 30 ), Dist( 25 ), 2015-11-29 05:41:13
step 620, training accuracy 0.98 , Light( 30 ), Dist( 25 ), 2015-11-29 05:41:23
step 630, training accuracy 1 , Light( 30 ), Dist( 25 ), 2015-11-29 05:41:33
step 640, training accuracy 1 , Light( 30 ), Dist( 25 ), 2015-11-29 05:41:42
