Extracting  10000  images.
Extracting  10000  labels
Extracting  1000  images.
Extracting  1000  labels
step 0, training accuracy 0.14 , Light( 1 ), Dist( 70 ), 2015-11-29 05:43:35
step 10, training accuracy 0.12 , Light( 1 ), Dist( 70 ), 2015-11-29 05:43:46
step 20, training accuracy 0.12 , Light( 1 ), Dist( 70 ), 2015-11-29 05:43:58
step 30, training accuracy 0.08 , Light( 1 ), Dist( 70 ), 2015-11-29 05:44:08
step 40, training accuracy 0.16 , Light( 1 ), Dist( 70 ), 2015-11-29 05:44:19
step 50, training accuracy 0.18 , Light( 1 ), Dist( 70 ), 2015-11-29 05:44:30
step 60, training accuracy 0.2 , Light( 1 ), Dist( 70 ), 2015-11-29 05:44:41
step 70, training accuracy 0.12 , Light( 1 ), Dist( 70 ), 2015-11-29 05:44:51
step 80, training accuracy 0.1 , Light( 1 ), Dist( 70 ), 2015-11-29 05:45:01
step 90, training accuracy 0.12 , Light( 1 ), Dist( 70 ), 2015-11-29 05:45:12
step 100, training accuracy 0.18 , Light( 1 ), Dist( 70 ), 2015-11-29 05:45:23
step 110, training accuracy 0.2 , Light( 1 ), Dist( 70 ), 2015-11-29 05:45:34
step 120, training accuracy 0.1 , Light( 1 ), Dist( 70 ), 2015-11-29 05:45:44
step 130, training accuracy 0.2 , Light( 1 ), Dist( 70 ), 2015-11-29 05:45:54
step 140, training accuracy 0.18 , Light( 1 ), Dist( 70 ), 2015-11-29 05:46:05
step 150, training accuracy 0.22 , Light( 1 ), Dist( 70 ), 2015-11-29 05:46:16
step 160, training accuracy 0.18 , Light( 1 ), Dist( 70 ), 2015-11-29 05:46:26
step 170, training accuracy 0.16 , Light( 1 ), Dist( 70 ), 2015-11-29 05:46:37
step 180, training accuracy 0.1 , Light( 1 ), Dist( 70 ), 2015-11-29 05:46:48
step 190, training accuracy 0.22 , Light( 1 ), Dist( 70 ), 2015-11-29 05:46:59
step 200, training accuracy 0.2 , Light( 1 ), Dist( 70 ), 2015-11-29 05:47:10
step 210, training accuracy 0.28 , Light( 1 ), Dist( 70 ), 2015-11-29 05:47:22
step 220, training accuracy 0.2 , Light( 1 ), Dist( 70 ), 2015-11-29 05:47:33
step 230, training accuracy 0.22 , Light( 1 ), Dist( 70 ), 2015-11-29 05:47:43
step 240, training accuracy 0.1 , Light( 1 ), Dist( 70 ), 2015-11-29 05:47:54
step 250, training accuracy 0.16 , Light( 1 ), Dist( 70 ), 2015-11-29 05:48:05
step 260, training accuracy 0.16 , Light( 1 ), Dist( 70 ), 2015-11-29 05:48:16
step 270, training accuracy 0.16 , Light( 1 ), Dist( 70 ), 2015-11-29 05:48:27
step 280, training accuracy 0.2 , Light( 1 ), Dist( 70 ), 2015-11-29 05:48:39
step 290, training accuracy 0.1 , Light( 1 ), Dist( 70 ), 2015-11-29 05:48:52
step 300, training accuracy 0.14 , Light( 1 ), Dist( 70 ), 2015-11-29 05:49:03
step 310, training accuracy 0.24 , Light( 1 ), Dist( 70 ), 2015-11-29 05:49:14
step 320, training accuracy 0.2 , Light( 1 ), Dist( 70 ), 2015-11-29 05:49:24
step 330, training accuracy 0.16 , Light( 1 ), Dist( 70 ), 2015-11-29 05:49:35
step 340, training accuracy 0.16 , Light( 1 ), Dist( 70 ), 2015-11-29 05:49:46
step 350, training accuracy 0.16 , Light( 1 ), Dist( 70 ), 2015-11-29 05:49:56
step 360, training accuracy 0.28 , Light( 1 ), Dist( 70 ), 2015-11-29 05:50:08
step 370, training accuracy 0.18 , Light( 1 ), Dist( 70 ), 2015-11-29 05:50:24
step 380, training accuracy 0.16 , Light( 1 ), Dist( 70 ), 2015-11-29 05:50:35
step 390, training accuracy 0.26 , Light( 1 ), Dist( 70 ), 2015-11-29 05:50:46
step 400, training accuracy 0.12 , Light( 1 ), Dist( 70 ), 2015-11-29 05:50:56
