Extracting  10000  images.
Extracting  10000  labels
Extracting  1000  images.
Extracting  1000  labels
step 0, training accuracy 0.14 , Light( 5 ), Dist( 70 ), 2015-11-27 02:15:52
step 10, training accuracy 0.22 , Light( 5 ), Dist( 70 ), 2015-11-27 02:16:06
step 20, training accuracy 0.18 , Light( 5 ), Dist( 70 ), 2015-11-27 02:16:20
step 30, training accuracy 0.34 , Light( 5 ), Dist( 70 ), 2015-11-27 02:16:34
step 40, training accuracy 0.46 , Light( 5 ), Dist( 70 ), 2015-11-27 02:16:47
step 50, training accuracy 0.48 , Light( 5 ), Dist( 70 ), 2015-11-27 02:17:01
step 60, training accuracy 0.56 , Light( 5 ), Dist( 70 ), 2015-11-27 02:17:15
step 70, training accuracy 0.5 , Light( 5 ), Dist( 70 ), 2015-11-27 02:17:28
step 80, training accuracy 0.66 , Light( 5 ), Dist( 70 ), 2015-11-27 02:17:41
step 90, training accuracy 0.68 , Light( 5 ), Dist( 70 ), 2015-11-27 02:17:55
step 100, training accuracy 0.62 , Light( 5 ), Dist( 70 ), 2015-11-27 02:18:08
step 110, training accuracy 0.76 , Light( 5 ), Dist( 70 ), 2015-11-27 02:18:22
step 120, training accuracy 0.74 , Light( 5 ), Dist( 70 ), 2015-11-27 02:18:35
step 130, training accuracy 0.8 , Light( 5 ), Dist( 70 ), 2015-11-27 02:18:49
step 140, training accuracy 0.76 , Light( 5 ), Dist( 70 ), 2015-11-27 02:19:02
step 150, training accuracy 0.76 , Light( 5 ), Dist( 70 ), 2015-11-27 02:19:16
step 160, training accuracy 0.72 , Light( 5 ), Dist( 70 ), 2015-11-27 02:19:30
step 170, training accuracy 0.62 , Light( 5 ), Dist( 70 ), 2015-11-27 02:19:43
step 180, training accuracy 0.82 , Light( 5 ), Dist( 70 ), 2015-11-27 02:19:57
step 190, training accuracy 0.72 , Light( 5 ), Dist( 70 ), 2015-11-27 02:20:10
step 200, training accuracy 0.78 , Light( 5 ), Dist( 70 ), 2015-11-27 02:20:23
step 210, training accuracy 0.74 , Light( 5 ), Dist( 70 ), 2015-11-27 02:20:36
step 220, training accuracy 0.82 , Light( 5 ), Dist( 70 ), 2015-11-27 02:20:49
step 230, training accuracy 0.76 , Light( 5 ), Dist( 70 ), 2015-11-27 02:21:03
step 240, training accuracy 0.82 , Light( 5 ), Dist( 70 ), 2015-11-27 02:21:16
step 250, training accuracy 0.78 , Light( 5 ), Dist( 70 ), 2015-11-27 02:21:29
step 260, training accuracy 0.86 , Light( 5 ), Dist( 70 ), 2015-11-27 02:21:43
step 270, training accuracy 0.86 , Light( 5 ), Dist( 70 ), 2015-11-27 02:21:57
step 280, training accuracy 0.76 , Light( 5 ), Dist( 70 ), 2015-11-27 02:22:11
step 290, training accuracy 0.84 , Light( 5 ), Dist( 70 ), 2015-11-27 02:22:24
step 300, training accuracy 0.84 , Light( 5 ), Dist( 70 ), 2015-11-27 02:22:38
step 310, training accuracy 0.82 , Light( 5 ), Dist( 70 ), 2015-11-27 02:22:51
step 320, training accuracy 0.9 , Light( 5 ), Dist( 70 ), 2015-11-27 02:23:05
step 330, training accuracy 0.72 , Light( 5 ), Dist( 70 ), 2015-11-27 02:23:19
step 340, training accuracy 0.86 , Light( 5 ), Dist( 70 ), 2015-11-27 02:23:32
step 350, training accuracy 0.88 , Light( 5 ), Dist( 70 ), 2015-11-27 02:23:45
step 360, training accuracy 0.82 , Light( 5 ), Dist( 70 ), 2015-11-27 02:23:59
step 370, training accuracy 0.88 , Light( 5 ), Dist( 70 ), 2015-11-27 02:24:12
step 380, training accuracy 0.84 , Light( 5 ), Dist( 70 ), 2015-11-27 02:24:24
step 390, training accuracy 0.8 , Light( 5 ), Dist( 70 ), 2015-11-27 02:24:38
step 400, training accuracy 0.82 , Light( 5 ), Dist( 70 ), 2015-11-27 02:24:51
step 410, training accuracy 0.76 , Light( 5 ), Dist( 70 ), 2015-11-27 02:25:04
step 420, training accuracy 0.86 , Light( 5 ), Dist( 70 ), 2015-11-27 02:25:18
step 430, training accuracy 0.94 , Light( 5 ), Dist( 70 ), 2015-11-27 02:25:31
step 440, training accuracy 0.9 , Light( 5 ), Dist( 70 ), 2015-11-27 02:25:45
step 450, training accuracy 0.84 , Light( 5 ), Dist( 70 ), 2015-11-27 02:25:58
step 460, training accuracy 0.94 , Light( 5 ), Dist( 70 ), 2015-11-27 02:26:12
step 470, training accuracy 0.88 , Light( 5 ), Dist( 70 ), 2015-11-27 02:26:25
step 480, training accuracy 0.82 , Light( 5 ), Dist( 70 ), 2015-11-27 02:26:39
step 490, training accuracy 0.82 , Light( 5 ), Dist( 70 ), 2015-11-27 02:26:52
step 500, training accuracy 0.9 , Light( 5 ), Dist( 70 ), 2015-11-27 02:27:06
step 510, training accuracy 0.86 , Light( 5 ), Dist( 70 ), 2015-11-27 02:27:19
step 520, training accuracy 0.86 , Light( 5 ), Dist( 70 ), 2015-11-27 02:27:32
step 530, training accuracy 0.9 , Light( 5 ), Dist( 70 ), 2015-11-27 02:27:45
step 540, training accuracy 0.96 , Light( 5 ), Dist( 70 ), 2015-11-27 02:27:58
step 550, training accuracy 0.88 , Light( 5 ), Dist( 70 ), 2015-11-27 02:28:12
step 560, training accuracy 0.88 , Light( 5 ), Dist( 70 ), 2015-11-27 02:28:25
step 570, training accuracy 0.9 , Light( 5 ), Dist( 70 ), 2015-11-27 02:28:39
step 580, training accuracy 0.86 , Light( 5 ), Dist( 70 ), 2015-11-27 02:28:52
step 590, training accuracy 0.94 , Light( 5 ), Dist( 70 ), 2015-11-27 02:29:06
step 600, training accuracy 0.88 , Light( 5 ), Dist( 70 ), 2015-11-27 02:29:19
step 610, training accuracy 0.86 , Light( 5 ), Dist( 70 ), 2015-11-27 02:29:33
step 620, training accuracy 0.92 , Light( 5 ), Dist( 70 ), 2015-11-27 02:29:47
step 630, training accuracy 0.84 , Light( 5 ), Dist( 70 ), 2015-11-27 02:30:00
step 640, training accuracy 0.92 , Light( 5 ), Dist( 70 ), 2015-11-27 02:30:14
step 650, training accuracy 0.86 , Light( 5 ), Dist( 70 ), 2015-11-27 02:30:27
step 660, training accuracy 0.86 , Light( 5 ), Dist( 70 ), 2015-11-27 02:30:41
step 670, training accuracy 0.92 , Light( 5 ), Dist( 70 ), 2015-11-27 02:30:54
step 680, training accuracy 0.9 , Light( 5 ), Dist( 70 ), 2015-11-27 02:31:08
step 690, training accuracy 0.84 , Light( 5 ), Dist( 70 ), 2015-11-27 02:31:22
step 700, training accuracy 0.9 , Light( 5 ), Dist( 70 ), 2015-11-27 02:31:36
step 710, training accuracy 0.94 , Light( 5 ), Dist( 70 ), 2015-11-27 02:31:49
step 720, training accuracy 0.84 , Light( 5 ), Dist( 70 ), 2015-11-27 02:32:03
step 730, training accuracy 0.92 , Light( 5 ), Dist( 70 ), 2015-11-27 02:32:17
step 740, training accuracy 0.92 , Light( 5 ), Dist( 70 ), 2015-11-27 02:32:30
step 750, training accuracy 0.88 , Light( 5 ), Dist( 70 ), 2015-11-27 02:32:44
step 760, training accuracy 0.92 , Light( 5 ), Dist( 70 ), 2015-11-27 02:32:57
step 770, training accuracy 0.88 , Light( 5 ), Dist( 70 ), 2015-11-27 02:33:11
step 780, training accuracy 0.86 , Light( 5 ), Dist( 70 ), 2015-11-27 02:33:24
step 790, training accuracy 0.94 , Light( 5 ), Dist( 70 ), 2015-11-27 02:33:37
step 800, training accuracy 0.94 , Light( 5 ), Dist( 70 ), 2015-11-27 02:33:51
step 810, training accuracy 0.92 , Light( 5 ), Dist( 70 ), 2015-11-27 02:34:04
step 820, training accuracy 0.94 , Light( 5 ), Dist( 70 ), 2015-11-27 02:34:18
step 830, training accuracy 0.9 , Light( 5 ), Dist( 70 ), 2015-11-27 02:34:31
step 840, training accuracy 0.9 , Light( 5 ), Dist( 70 ), 2015-11-27 02:34:44
step 850, training accuracy 0.94 , Light( 5 ), Dist( 70 ), 2015-11-27 02:34:58
step 860, training accuracy 0.96 , Light( 5 ), Dist( 70 ), 2015-11-27 02:35:11
step 870, training accuracy 0.88 , Light( 5 ), Dist( 70 ), 2015-11-27 02:35:25
step 880, training accuracy 0.96 , Light( 5 ), Dist( 70 ), 2015-11-27 02:35:38
