Extracting  10000  images.
Extracting  10000  labels
Extracting  1000  images.
Extracting  1000  labels
step 0, training accuracy 0.04 , Light( 15 ), Dist( 70 ), 2015-11-27 06:00:47
step 10, training accuracy 0.22 , Light( 15 ), Dist( 70 ), 2015-11-27 06:01:01
step 20, training accuracy 0.32 , Light( 15 ), Dist( 70 ), 2015-11-27 06:01:14
step 30, training accuracy 0.3 , Light( 15 ), Dist( 70 ), 2015-11-27 06:01:28
step 40, training accuracy 0.64 , Light( 15 ), Dist( 70 ), 2015-11-27 06:01:41
step 50, training accuracy 0.7 , Light( 15 ), Dist( 70 ), 2015-11-27 06:01:55
step 60, training accuracy 0.76 , Light( 15 ), Dist( 70 ), 2015-11-27 06:02:09
step 70, training accuracy 0.64 , Light( 15 ), Dist( 70 ), 2015-11-27 06:02:22
step 80, training accuracy 0.72 , Light( 15 ), Dist( 70 ), 2015-11-27 06:02:35
step 90, training accuracy 0.76 , Light( 15 ), Dist( 70 ), 2015-11-27 06:02:49
step 100, training accuracy 0.76 , Light( 15 ), Dist( 70 ), 2015-11-27 06:03:02
step 110, training accuracy 0.74 , Light( 15 ), Dist( 70 ), 2015-11-27 06:03:16
step 120, training accuracy 0.82 , Light( 15 ), Dist( 70 ), 2015-11-27 06:03:29
step 130, training accuracy 0.84 , Light( 15 ), Dist( 70 ), 2015-11-27 06:03:42
step 140, training accuracy 0.9 , Light( 15 ), Dist( 70 ), 2015-11-27 06:03:55
step 150, training accuracy 0.8 , Light( 15 ), Dist( 70 ), 2015-11-27 06:04:09
step 160, training accuracy 0.88 , Light( 15 ), Dist( 70 ), 2015-11-27 06:04:22
step 170, training accuracy 0.92 , Light( 15 ), Dist( 70 ), 2015-11-27 06:04:36
step 180, training accuracy 0.9 , Light( 15 ), Dist( 70 ), 2015-11-27 06:04:49
step 190, training accuracy 0.86 , Light( 15 ), Dist( 70 ), 2015-11-27 06:05:03
step 200, training accuracy 0.9 , Light( 15 ), Dist( 70 ), 2015-11-27 06:05:16
step 210, training accuracy 0.86 , Light( 15 ), Dist( 70 ), 2015-11-27 06:05:30
step 220, training accuracy 0.76 , Light( 15 ), Dist( 70 ), 2015-11-27 06:05:43
step 230, training accuracy 0.94 , Light( 15 ), Dist( 70 ), 2015-11-27 06:05:57
