Extracting  10000  images.
Extracting  10000  labels
Extracting  1000  images.
Extracting  1000  labels
step 0, training accuracy 0.16 , Light( 10 ), Dist( 50 ), 2015-11-27 16:06:46
step 10, training accuracy 0.16 , Light( 10 ), Dist( 50 ), 2015-11-27 16:07:03
step 20, training accuracy 0.46 , Light( 10 ), Dist( 50 ), 2015-11-27 16:07:19
step 30, training accuracy 0.66 , Light( 10 ), Dist( 50 ), 2015-11-27 16:07:37
step 40, training accuracy 0.6 , Light( 10 ), Dist( 50 ), 2015-11-27 16:07:54
step 50, training accuracy 0.76 , Light( 10 ), Dist( 50 ), 2015-11-27 16:08:11
step 60, training accuracy 0.68 , Light( 10 ), Dist( 50 ), 2015-11-27 16:08:28
step 70, training accuracy 0.82 , Light( 10 ), Dist( 50 ), 2015-11-27 16:08:45
step 80, training accuracy 0.84 , Light( 10 ), Dist( 50 ), 2015-11-27 16:09:03
step 90, training accuracy 0.84 , Light( 10 ), Dist( 50 ), 2015-11-27 16:09:20
step 100, training accuracy 0.84 , Light( 10 ), Dist( 50 ), 2015-11-27 16:09:38
step 110, training accuracy 0.82 , Light( 10 ), Dist( 50 ), 2015-11-27 16:09:55
step 120, training accuracy 0.82 , Light( 10 ), Dist( 50 ), 2015-11-27 16:10:12
step 130, training accuracy 0.82 , Light( 10 ), Dist( 50 ), 2015-11-27 16:10:29
step 140, training accuracy 0.84 , Light( 10 ), Dist( 50 ), 2015-11-27 16:10:46
step 150, training accuracy 0.86 , Light( 10 ), Dist( 50 ), 2015-11-27 16:11:03
step 160, training accuracy 0.94 , Light( 10 ), Dist( 50 ), 2015-11-27 16:11:19
step 170, training accuracy 0.84 , Light( 10 ), Dist( 50 ), 2015-11-27 16:11:37
step 180, training accuracy 0.84 , Light( 10 ), Dist( 50 ), 2015-11-27 16:11:55
step 190, training accuracy 0.94 , Light( 10 ), Dist( 50 ), 2015-11-27 16:12:13
step 200, training accuracy 0.94 , Light( 10 ), Dist( 50 ), 2015-11-27 16:12:31
step 210, training accuracy 0.86 , Light( 10 ), Dist( 50 ), 2015-11-27 16:12:49
step 220, training accuracy 0.88 , Light( 10 ), Dist( 50 ), 2015-11-27 16:13:06
step 230, training accuracy 0.9 , Light( 10 ), Dist( 50 ), 2015-11-27 16:13:23
step 240, training accuracy 0.96 , Light( 10 ), Dist( 50 ), 2015-11-27 16:13:41
step 250, training accuracy 0.94 , Light( 10 ), Dist( 50 ), 2015-11-27 16:13:57
step 260, training accuracy 0.84 , Light( 10 ), Dist( 50 ), 2015-11-27 16:14:14
step 270, training accuracy 0.98 , Light( 10 ), Dist( 50 ), 2015-11-27 16:14:30
step 280, training accuracy 0.88 , Light( 10 ), Dist( 50 ), 2015-11-27 16:14:46
step 290, training accuracy 0.94 , Light( 10 ), Dist( 50 ), 2015-11-27 16:15:03
step 300, training accuracy 0.88 , Light( 10 ), Dist( 50 ), 2015-11-27 16:15:20
step 310, training accuracy 0.98 , Light( 10 ), Dist( 50 ), 2015-11-27 16:15:38
step 320, training accuracy 1 , Light( 10 ), Dist( 50 ), 2015-11-27 16:15:56
step 330, training accuracy 0.88 , Light( 10 ), Dist( 50 ), 2015-11-27 16:16:15
step 340, training accuracy 0.92 , Light( 10 ), Dist( 50 ), 2015-11-27 16:16:33
step 350, training accuracy 0.9 , Light( 10 ), Dist( 50 ), 2015-11-27 16:16:51
step 360, training accuracy 0.98 , Light( 10 ), Dist( 50 ), 2015-11-27 16:17:08
step 370, training accuracy 0.9 , Light( 10 ), Dist( 50 ), 2015-11-27 16:17:25
step 380, training accuracy 0.9 , Light( 10 ), Dist( 50 ), 2015-11-27 16:17:41
step 390, training accuracy 0.96 , Light( 10 ), Dist( 50 ), 2015-11-27 16:17:59
step 400, training accuracy 0.94 , Light( 10 ), Dist( 50 ), 2015-11-27 16:18:16
step 410, training accuracy 0.9 , Light( 10 ), Dist( 50 ), 2015-11-27 16:18:33
step 420, training accuracy 0.94 , Light( 10 ), Dist( 50 ), 2015-11-27 16:18:51
step 430, training accuracy 0.92 , Light( 10 ), Dist( 50 ), 2015-11-27 16:19:09
step 440, training accuracy 0.98 , Light( 10 ), Dist( 50 ), 2015-11-27 16:19:27
step 450, training accuracy 0.94 , Light( 10 ), Dist( 50 ), 2015-11-27 16:19:43
step 460, training accuracy 0.88 , Light( 10 ), Dist( 50 ), 2015-11-27 16:20:00
step 470, training accuracy 0.88 , Light( 10 ), Dist( 50 ), 2015-11-27 16:20:17
step 480, training accuracy 0.96 , Light( 10 ), Dist( 50 ), 2015-11-27 16:20:35
step 490, training accuracy 0.94 , Light( 10 ), Dist( 50 ), 2015-11-27 16:20:51
