Extracting  10000  images.
Extracting  10000  labels
Extracting  1000  images.
Extracting  1000  labels
step 0, training accuracy 0.24 , Light( 5 ), Dist( 35 ), 2015-11-27 00:22:23
step 10, training accuracy 0.1 , Light( 5 ), Dist( 35 ), 2015-11-27 00:22:38
step 20, training accuracy 0.52 , Light( 5 ), Dist( 35 ), 2015-11-27 00:22:51
step 30, training accuracy 0.5 , Light( 5 ), Dist( 35 ), 2015-11-27 00:23:04
step 40, training accuracy 0.64 , Light( 5 ), Dist( 35 ), 2015-11-27 00:23:17
step 50, training accuracy 0.68 , Light( 5 ), Dist( 35 ), 2015-11-27 00:23:31
step 60, training accuracy 0.6 , Light( 5 ), Dist( 35 ), 2015-11-27 00:23:45
step 70, training accuracy 0.86 , Light( 5 ), Dist( 35 ), 2015-11-27 00:23:59
step 80, training accuracy 0.66 , Light( 5 ), Dist( 35 ), 2015-11-27 00:24:12
step 90, training accuracy 0.8 , Light( 5 ), Dist( 35 ), 2015-11-27 00:24:25
step 100, training accuracy 0.9 , Light( 5 ), Dist( 35 ), 2015-11-27 00:24:39
step 110, training accuracy 0.8 , Light( 5 ), Dist( 35 ), 2015-11-27 00:24:52
step 120, training accuracy 0.82 , Light( 5 ), Dist( 35 ), 2015-11-27 00:25:06
step 130, training accuracy 0.74 , Light( 5 ), Dist( 35 ), 2015-11-27 00:25:19
step 140, training accuracy 0.78 , Light( 5 ), Dist( 35 ), 2015-11-27 00:25:32
step 150, training accuracy 0.78 , Light( 5 ), Dist( 35 ), 2015-11-27 00:25:46
step 160, training accuracy 0.82 , Light( 5 ), Dist( 35 ), 2015-11-27 00:25:59
step 170, training accuracy 0.9 , Light( 5 ), Dist( 35 ), 2015-11-27 00:26:12
step 180, training accuracy 0.82 , Light( 5 ), Dist( 35 ), 2015-11-27 00:26:26
step 190, training accuracy 0.86 , Light( 5 ), Dist( 35 ), 2015-11-27 00:26:39
step 200, training accuracy 0.82 , Light( 5 ), Dist( 35 ), 2015-11-27 00:26:53
step 210, training accuracy 0.88 , Light( 5 ), Dist( 35 ), 2015-11-27 00:27:07
step 220, training accuracy 0.88 , Light( 5 ), Dist( 35 ), 2015-11-27 00:27:20
step 230, training accuracy 0.94 , Light( 5 ), Dist( 35 ), 2015-11-27 00:27:34
step 240, training accuracy 0.92 , Light( 5 ), Dist( 35 ), 2015-11-27 00:27:48
step 250, training accuracy 0.92 , Light( 5 ), Dist( 35 ), 2015-11-27 00:28:01
step 260, training accuracy 0.94 , Light( 5 ), Dist( 35 ), 2015-11-27 00:28:14
step 270, training accuracy 0.94 , Light( 5 ), Dist( 35 ), 2015-11-27 00:28:28
