Extracting  10000  images.
Extracting  10000  labels
Extracting  1000  images.
Extracting  1000  labels
step 0, training accuracy 0.14 , Light( 45 ), Dist( 35 ), 2015-11-27 07:54:02
step 10, training accuracy 0.44 , Light( 45 ), Dist( 35 ), 2015-11-27 07:54:15
step 20, training accuracy 0.56 , Light( 45 ), Dist( 35 ), 2015-11-27 07:54:29
step 30, training accuracy 0.64 , Light( 45 ), Dist( 35 ), 2015-11-27 07:54:42
step 40, training accuracy 0.72 , Light( 45 ), Dist( 35 ), 2015-11-27 07:54:57
step 50, training accuracy 0.7 , Light( 45 ), Dist( 35 ), 2015-11-27 07:55:10
step 60, training accuracy 0.84 , Light( 45 ), Dist( 35 ), 2015-11-27 07:55:24
step 70, training accuracy 0.82 , Light( 45 ), Dist( 35 ), 2015-11-27 07:55:38
step 80, training accuracy 0.92 , Light( 45 ), Dist( 35 ), 2015-11-27 07:55:51
step 90, training accuracy 0.84 , Light( 45 ), Dist( 35 ), 2015-11-27 07:56:04
step 100, training accuracy 0.9 , Light( 45 ), Dist( 35 ), 2015-11-27 07:56:18
step 110, training accuracy 0.94 , Light( 45 ), Dist( 35 ), 2015-11-27 07:56:32
step 120, training accuracy 0.9 , Light( 45 ), Dist( 35 ), 2015-11-27 07:56:45
step 130, training accuracy 0.82 , Light( 45 ), Dist( 35 ), 2015-11-27 07:56:59
step 140, training accuracy 0.84 , Light( 45 ), Dist( 35 ), 2015-11-27 07:57:13
step 150, training accuracy 0.96 , Light( 45 ), Dist( 35 ), 2015-11-27 07:57:26
step 160, training accuracy 0.94 , Light( 45 ), Dist( 35 ), 2015-11-27 07:57:40
step 170, training accuracy 0.86 , Light( 45 ), Dist( 35 ), 2015-11-27 07:57:52
step 180, training accuracy 0.94 , Light( 45 ), Dist( 35 ), 2015-11-27 07:58:05
step 190, training accuracy 0.92 , Light( 45 ), Dist( 35 ), 2015-11-27 07:58:19
step 200, training accuracy 0.9 , Light( 45 ), Dist( 35 ), 2015-11-27 07:58:32
step 210, training accuracy 0.86 , Light( 45 ), Dist( 35 ), 2015-11-27 07:58:46
step 220, training accuracy 0.86 , Light( 45 ), Dist( 35 ), 2015-11-27 07:58:59
step 230, training accuracy 0.9 , Light( 45 ), Dist( 35 ), 2015-11-27 07:59:13
step 240, training accuracy 0.94 , Light( 45 ), Dist( 35 ), 2015-11-27 07:59:26
step 250, training accuracy 0.94 , Light( 45 ), Dist( 35 ), 2015-11-27 07:59:40
step 260, training accuracy 0.94 , Light( 45 ), Dist( 35 ), 2015-11-27 07:59:53
step 270, training accuracy 0.92 , Light( 45 ), Dist( 35 ), 2015-11-27 08:00:07
step 280, training accuracy 0.9 , Light( 45 ), Dist( 35 ), 2015-11-27 08:00:20
step 290, training accuracy 0.88 , Light( 45 ), Dist( 35 ), 2015-11-27 08:00:34
step 300, training accuracy 0.92 , Light( 45 ), Dist( 35 ), 2015-11-27 08:00:47
step 310, training accuracy 0.92 , Light( 45 ), Dist( 35 ), 2015-11-27 08:01:00
step 320, training accuracy 0.98 , Light( 45 ), Dist( 35 ), 2015-11-27 08:01:14
step 330, training accuracy 0.98 , Light( 45 ), Dist( 35 ), 2015-11-27 08:01:27
step 340, training accuracy 0.82 , Light( 45 ), Dist( 35 ), 2015-11-27 08:01:41
step 350, training accuracy 0.98 , Light( 45 ), Dist( 35 ), 2015-11-27 08:01:54
step 360, training accuracy 0.96 , Light( 45 ), Dist( 35 ), 2015-11-27 08:02:08
step 370, training accuracy 0.92 , Light( 45 ), Dist( 35 ), 2015-11-27 08:02:22
step 380, training accuracy 0.98 , Light( 45 ), Dist( 35 ), 2015-11-27 08:02:35
step 390, training accuracy 0.94 , Light( 45 ), Dist( 35 ), 2015-11-27 08:02:49
step 400, training accuracy 0.96 , Light( 45 ), Dist( 35 ), 2015-11-27 08:03:02
step 410, training accuracy 0.96 , Light( 45 ), Dist( 35 ), 2015-11-27 08:03:16
step 420, training accuracy 0.98 , Light( 45 ), Dist( 35 ), 2015-11-27 08:03:30
step 430, training accuracy 0.94 , Light( 45 ), Dist( 35 ), 2015-11-27 08:03:44
step 440, training accuracy 0.98 , Light( 45 ), Dist( 35 ), 2015-11-27 08:03:57
step 450, training accuracy 0.94 , Light( 45 ), Dist( 35 ), 2015-11-27 08:04:11
step 460, training accuracy 0.96 , Light( 45 ), Dist( 35 ), 2015-11-27 08:04:25
step 470, training accuracy 0.98 , Light( 45 ), Dist( 35 ), 2015-11-27 08:04:38
step 480, training accuracy 0.92 , Light( 45 ), Dist( 35 ), 2015-11-27 08:04:52
step 490, training accuracy 0.86 , Light( 45 ), Dist( 35 ), 2015-11-27 08:05:05
step 500, training accuracy 0.96 , Light( 45 ), Dist( 35 ), 2015-11-27 08:05:18
step 510, training accuracy 0.96 , Light( 45 ), Dist( 35 ), 2015-11-27 08:05:32
step 520, training accuracy 0.98 , Light( 45 ), Dist( 35 ), 2015-11-27 08:05:45
step 530, training accuracy 0.92 , Light( 45 ), Dist( 35 ), 2015-11-27 08:05:59
step 540, training accuracy 0.94 , Light( 45 ), Dist( 35 ), 2015-11-27 08:06:13
step 550, training accuracy 0.98 , Light( 45 ), Dist( 35 ), 2015-11-27 08:06:26
step 560, training accuracy 0.96 , Light( 45 ), Dist( 35 ), 2015-11-27 08:06:39
step 570, training accuracy 0.96 , Light( 45 ), Dist( 35 ), 2015-11-27 08:06:52
step 580, training accuracy 0.92 , Light( 45 ), Dist( 35 ), 2015-11-27 08:07:05
step 590, training accuracy 0.94 , Light( 45 ), Dist( 35 ), 2015-11-27 08:07:18
step 600, training accuracy 0.96 , Light( 45 ), Dist( 35 ), 2015-11-27 08:07:32
step 610, training accuracy 0.94 , Light( 45 ), Dist( 35 ), 2015-11-27 08:07:45
step 620, training accuracy 0.88 , Light( 45 ), Dist( 35 ), 2015-11-27 08:07:59
step 630, training accuracy 0.98 , Light( 45 ), Dist( 35 ), 2015-11-27 08:08:12
step 640, training accuracy 1 , Light( 45 ), Dist( 35 ), 2015-11-27 08:08:26
step 650, training accuracy 0.98 , Light( 45 ), Dist( 35 ), 2015-11-27 08:08:39
step 660, training accuracy 0.98 , Light( 45 ), Dist( 35 ), 2015-11-27 08:08:52
step 670, training accuracy 0.96 , Light( 45 ), Dist( 35 ), 2015-11-27 08:09:05
step 680, training accuracy 0.94 , Light( 45 ), Dist( 35 ), 2015-11-27 08:09:19
step 690, training accuracy 0.92 , Light( 45 ), Dist( 35 ), 2015-11-27 08:09:32
step 700, training accuracy 0.96 , Light( 45 ), Dist( 35 ), 2015-11-27 08:09:46
step 710, training accuracy 0.96 , Light( 45 ), Dist( 35 ), 2015-11-27 08:09:59
