Extracting  10000  images.
Extracting  10000  labels
Extracting  1000  images.
Extracting  1000  labels
step 0, training accuracy 0.16 , Light( 15 ), Dist( 35 ), 2015-11-27 04:08:48
step 10, training accuracy 0.36 , Light( 15 ), Dist( 35 ), 2015-11-27 04:09:02
step 20, training accuracy 0.52 , Light( 15 ), Dist( 35 ), 2015-11-27 04:09:15
step 30, training accuracy 0.66 , Light( 15 ), Dist( 35 ), 2015-11-27 04:09:28
step 40, training accuracy 0.82 , Light( 15 ), Dist( 35 ), 2015-11-27 04:09:42
step 50, training accuracy 0.8 , Light( 15 ), Dist( 35 ), 2015-11-27 04:09:54
step 60, training accuracy 0.66 , Light( 15 ), Dist( 35 ), 2015-11-27 04:10:08
step 70, training accuracy 0.8 , Light( 15 ), Dist( 35 ), 2015-11-27 04:10:21
step 80, training accuracy 0.8 , Light( 15 ), Dist( 35 ), 2015-11-27 04:10:34
step 90, training accuracy 0.88 , Light( 15 ), Dist( 35 ), 2015-11-27 04:10:47
step 100, training accuracy 0.84 , Light( 15 ), Dist( 35 ), 2015-11-27 04:11:01
step 110, training accuracy 0.86 , Light( 15 ), Dist( 35 ), 2015-11-27 04:11:14
step 120, training accuracy 0.92 , Light( 15 ), Dist( 35 ), 2015-11-27 04:11:27
step 130, training accuracy 0.88 , Light( 15 ), Dist( 35 ), 2015-11-27 04:11:41
step 140, training accuracy 0.88 , Light( 15 ), Dist( 35 ), 2015-11-27 04:11:54
step 150, training accuracy 0.94 , Light( 15 ), Dist( 35 ), 2015-11-27 04:12:07
step 160, training accuracy 0.94 , Light( 15 ), Dist( 35 ), 2015-11-27 04:12:20
step 170, training accuracy 0.88 , Light( 15 ), Dist( 35 ), 2015-11-27 04:12:34
step 180, training accuracy 0.94 , Light( 15 ), Dist( 35 ), 2015-11-27 04:12:48
step 190, training accuracy 0.94 , Light( 15 ), Dist( 35 ), 2015-11-27 04:13:01
step 200, training accuracy 0.9 , Light( 15 ), Dist( 35 ), 2015-11-27 04:13:15
step 210, training accuracy 0.88 , Light( 15 ), Dist( 35 ), 2015-11-27 04:13:29
step 220, training accuracy 0.86 , Light( 15 ), Dist( 35 ), 2015-11-27 04:13:42
