Extracting  10000  images.
Extracting  10000  labels
Extracting  1000  images.
Extracting  1000  labels
step 0, training accuracy 0.16 , Light( 45 ), Dist( 70 ), 2015-11-27 09:45:25
step 10, training accuracy 0.26 , Light( 45 ), Dist( 70 ), 2015-11-27 09:45:39
step 20, training accuracy 0.42 , Light( 45 ), Dist( 70 ), 2015-11-27 09:45:53
step 30, training accuracy 0.44 , Light( 45 ), Dist( 70 ), 2015-11-27 09:46:06
step 40, training accuracy 0.58 , Light( 45 ), Dist( 70 ), 2015-11-27 09:46:19
step 50, training accuracy 0.88 , Light( 45 ), Dist( 70 ), 2015-11-27 09:46:32
step 60, training accuracy 0.84 , Light( 45 ), Dist( 70 ), 2015-11-27 09:46:46
step 70, training accuracy 0.82 , Light( 45 ), Dist( 70 ), 2015-11-27 09:46:59
step 80, training accuracy 0.84 , Light( 45 ), Dist( 70 ), 2015-11-27 09:47:13
step 90, training accuracy 0.76 , Light( 45 ), Dist( 70 ), 2015-11-27 09:47:26
step 100, training accuracy 0.82 , Light( 45 ), Dist( 70 ), 2015-11-27 09:47:39
step 110, training accuracy 0.88 , Light( 45 ), Dist( 70 ), 2015-11-27 09:47:52
step 120, training accuracy 0.94 , Light( 45 ), Dist( 70 ), 2015-11-27 09:48:06
step 130, training accuracy 0.84 , Light( 45 ), Dist( 70 ), 2015-11-27 09:48:19
step 140, training accuracy 0.82 , Light( 45 ), Dist( 70 ), 2015-11-27 09:48:33
step 150, training accuracy 0.9 , Light( 45 ), Dist( 70 ), 2015-11-27 09:48:46
step 160, training accuracy 0.9 , Light( 45 ), Dist( 70 ), 2015-11-27 09:48:59
step 170, training accuracy 0.94 , Light( 45 ), Dist( 70 ), 2015-11-27 09:49:12
step 180, training accuracy 0.84 , Light( 45 ), Dist( 70 ), 2015-11-27 09:49:25
step 190, training accuracy 0.92 , Light( 45 ), Dist( 70 ), 2015-11-27 09:49:38
step 200, training accuracy 0.92 , Light( 45 ), Dist( 70 ), 2015-11-27 09:49:52
step 210, training accuracy 0.88 , Light( 45 ), Dist( 70 ), 2015-11-27 09:50:06
step 220, training accuracy 0.8 , Light( 45 ), Dist( 70 ), 2015-11-27 09:50:19
step 230, training accuracy 0.96 , Light( 45 ), Dist( 70 ), 2015-11-27 09:50:33
step 240, training accuracy 0.94 , Light( 45 ), Dist( 70 ), 2015-11-27 09:50:46
step 250, training accuracy 0.92 , Light( 45 ), Dist( 70 ), 2015-11-27 09:51:00
step 260, training accuracy 0.94 , Light( 45 ), Dist( 70 ), 2015-11-27 09:51:13
step 270, training accuracy 0.9 , Light( 45 ), Dist( 70 ), 2015-11-27 09:51:26
step 280, training accuracy 0.94 , Light( 45 ), Dist( 70 ), 2015-11-27 09:51:39
step 290, training accuracy 0.9 , Light( 45 ), Dist( 70 ), 2015-11-27 09:51:52
step 300, training accuracy 0.88 , Light( 45 ), Dist( 70 ), 2015-11-27 09:52:05
step 310, training accuracy 0.88 , Light( 45 ), Dist( 70 ), 2015-11-27 09:52:18
step 320, training accuracy 0.88 , Light( 45 ), Dist( 70 ), 2015-11-27 09:52:31
step 330, training accuracy 0.92 , Light( 45 ), Dist( 70 ), 2015-11-27 09:52:45
step 340, training accuracy 0.92 , Light( 45 ), Dist( 70 ), 2015-11-27 09:52:58
step 350, training accuracy 0.9 , Light( 45 ), Dist( 70 ), 2015-11-27 09:53:12
step 360, training accuracy 0.88 , Light( 45 ), Dist( 70 ), 2015-11-27 09:53:26
step 370, training accuracy 0.92 , Light( 45 ), Dist( 70 ), 2015-11-27 09:53:40
step 380, training accuracy 0.98 , Light( 45 ), Dist( 70 ), 2015-11-27 09:53:53
step 390, training accuracy 0.88 , Light( 45 ), Dist( 70 ), 2015-11-27 09:54:06
step 400, training accuracy 0.86 , Light( 45 ), Dist( 70 ), 2015-11-27 09:54:20
step 410, training accuracy 0.98 , Light( 45 ), Dist( 70 ), 2015-11-27 09:54:33
step 420, training accuracy 0.98 , Light( 45 ), Dist( 70 ), 2015-11-27 09:54:46
step 430, training accuracy 0.9 , Light( 45 ), Dist( 70 ), 2015-11-27 09:55:00
step 440, training accuracy 0.98 , Light( 45 ), Dist( 70 ), 2015-11-27 09:55:13
step 450, training accuracy 0.96 , Light( 45 ), Dist( 70 ), 2015-11-27 09:55:26
step 460, training accuracy 0.96 , Light( 45 ), Dist( 70 ), 2015-11-27 09:55:40
step 470, training accuracy 0.98 , Light( 45 ), Dist( 70 ), 2015-11-27 09:55:53
step 480, training accuracy 0.9 , Light( 45 ), Dist( 70 ), 2015-11-27 09:56:07
step 490, training accuracy 0.92 , Light( 45 ), Dist( 70 ), 2015-11-27 09:56:20
step 500, training accuracy 0.98 , Light( 45 ), Dist( 70 ), 2015-11-27 09:56:33
step 510, training accuracy 0.98 , Light( 45 ), Dist( 70 ), 2015-11-27 09:56:46
step 520, training accuracy 0.92 , Light( 45 ), Dist( 70 ), 2015-11-27 09:57:00
step 530, training accuracy 0.92 , Light( 45 ), Dist( 70 ), 2015-11-27 09:57:13
step 540, training accuracy 0.98 , Light( 45 ), Dist( 70 ), 2015-11-27 09:57:26
step 550, training accuracy 0.92 , Light( 45 ), Dist( 70 ), 2015-11-27 09:57:39
step 560, training accuracy 0.96 , Light( 45 ), Dist( 70 ), 2015-11-27 09:57:52
step 570, training accuracy 0.98 , Light( 45 ), Dist( 70 ), 2015-11-27 09:58:05
step 580, training accuracy 0.96 , Light( 45 ), Dist( 70 ), 2015-11-27 09:58:19
step 590, training accuracy 0.9 , Light( 45 ), Dist( 70 ), 2015-11-27 09:58:33
step 600, training accuracy 0.98 , Light( 45 ), Dist( 70 ), 2015-11-27 09:58:46
step 610, training accuracy 0.98 , Light( 45 ), Dist( 70 ), 2015-11-27 09:58:59
step 620, training accuracy 0.92 , Light( 45 ), Dist( 70 ), 2015-11-27 09:59:12
step 630, training accuracy 0.98 , Light( 45 ), Dist( 70 ), 2015-11-27 09:59:25
step 640, training accuracy 0.98 , Light( 45 ), Dist( 70 ), 2015-11-27 09:59:39
step 650, training accuracy 0.92 , Light( 45 ), Dist( 70 ), 2015-11-27 09:59:53
step 660, training accuracy 0.94 , Light( 45 ), Dist( 70 ), 2015-11-27 10:00:06
step 670, training accuracy 0.96 , Light( 45 ), Dist( 70 ), 2015-11-27 10:00:20
step 680, training accuracy 1 , Light( 45 ), Dist( 70 ), 2015-11-27 10:00:33
step 690, training accuracy 0.98 , Light( 45 ), Dist( 70 ), 2015-11-27 10:00:47
step 700, training accuracy 0.98 , Light( 45 ), Dist( 70 ), 2015-11-27 10:01:00
step 710, training accuracy 0.94 , Light( 45 ), Dist( 70 ), 2015-11-27 10:01:14
step 720, training accuracy 0.94 , Light( 45 ), Dist( 70 ), 2015-11-27 10:01:28
step 730, training accuracy 0.9 , Light( 45 ), Dist( 70 ), 2015-11-27 10:01:41
step 740, training accuracy 0.98 , Light( 45 ), Dist( 70 ), 2015-11-27 10:01:55
step 750, training accuracy 1 , Light( 45 ), Dist( 70 ), 2015-11-27 10:02:09
step 760, training accuracy 0.94 , Light( 45 ), Dist( 70 ), 2015-11-27 10:02:22
step 770, training accuracy 0.98 , Light( 45 ), Dist( 70 ), 2015-11-27 10:02:35
step 780, training accuracy 0.96 , Light( 45 ), Dist( 70 ), 2015-11-27 10:02:48
step 790, training accuracy 0.98 , Light( 45 ), Dist( 70 ), 2015-11-27 10:03:02
step 800, training accuracy 0.94 , Light( 45 ), Dist( 70 ), 2015-11-27 10:03:16
step 810, training accuracy 0.92 , Light( 45 ), Dist( 70 ), 2015-11-27 10:03:29
step 820, training accuracy 0.98 , Light( 45 ), Dist( 70 ), 2015-11-27 10:03:43
step 830, training accuracy 0.9 , Light( 45 ), Dist( 70 ), 2015-11-27 10:03:56
step 840, training accuracy 0.98 , Light( 45 ), Dist( 70 ), 2015-11-27 10:04:10
step 850, training accuracy 0.94 , Light( 45 ), Dist( 70 ), 2015-11-27 10:04:23
step 860, training accuracy 0.96 , Light( 45 ), Dist( 70 ), 2015-11-27 10:04:36
step 870, training accuracy 0.92 , Light( 45 ), Dist( 70 ), 2015-11-27 10:04:50
step 880, training accuracy 0.96 , Light( 45 ), Dist( 70 ), 2015-11-27 10:05:03
step 890, training accuracy 1 , Light( 45 ), Dist( 70 ), 2015-11-27 10:05:17
step 900, training accuracy 0.96 , Light( 45 ), Dist( 70 ), 2015-11-27 10:05:31
step 910, training accuracy 1 , Light( 45 ), Dist( 70 ), 2015-11-27 10:05:44
