Extracting  10000  images.
Extracting  10000  labels
Extracting  1000  images.
Extracting  1000  labels
step 680, training accuracy 0.96 , Light( 15 ), Dist( 140 ), 2015-11-27 17:26:06
step 690, training accuracy 1 , Light( 15 ), Dist( 140 ), 2015-11-27 17:26:14
step 700, training accuracy 0.96 , Light( 15 ), Dist( 140 ), 2015-11-27 17:26:22
step 710, training accuracy 1 , Light( 15 ), Dist( 140 ), 2015-11-27 17:26:30
step 720, training accuracy 0.92 , Light( 15 ), Dist( 140 ), 2015-11-27 17:26:38
step 730, training accuracy 0.98 , Light( 15 ), Dist( 140 ), 2015-11-27 17:26:45
step 740, training accuracy 0.98 , Light( 15 ), Dist( 140 ), 2015-11-27 17:26:52
step 750, training accuracy 0.98 , Light( 15 ), Dist( 140 ), 2015-11-27 17:27:00
step 760, training accuracy 0.94 , Light( 15 ), Dist( 140 ), 2015-11-27 17:27:08
step 770, training accuracy 0.98 , Light( 15 ), Dist( 140 ), 2015-11-27 17:27:15
step 780, training accuracy 0.98 , Light( 15 ), Dist( 140 ), 2015-11-27 17:27:23
step 790, training accuracy 0.96 , Light( 15 ), Dist( 140 ), 2015-11-27 17:27:30
step 800, training accuracy 1 , Light( 15 ), Dist( 140 ), 2015-11-27 17:27:38
step 810, training accuracy 0.98 , Light( 15 ), Dist( 140 ), 2015-11-27 17:27:46
step 820, training accuracy 1 , Light( 15 ), Dist( 140 ), 2015-11-27 17:27:53
step 830, training accuracy 0.96 , Light( 15 ), Dist( 140 ), 2015-11-27 17:28:01
step 840, training accuracy 0.96 , Light( 15 ), Dist( 140 ), 2015-11-27 17:28:09
step 850, training accuracy 0.94 , Light( 15 ), Dist( 140 ), 2015-11-27 17:28:16
step 860, training accuracy 0.96 , Light( 15 ), Dist( 140 ), 2015-11-27 17:28:24
step 870, training accuracy 0.9 , Light( 15 ), Dist( 140 ), 2015-11-27 17:28:31
step 880, training accuracy 1 , Light( 15 ), Dist( 140 ), 2015-11-27 17:28:39
step 890, training accuracy 0.98 , Light( 15 ), Dist( 140 ), 2015-11-27 17:28:46
step 900, training accuracy 0.98 , Light( 15 ), Dist( 140 ), 2015-11-27 17:28:54
step 910, training accuracy 0.98 , Light( 15 ), Dist( 140 ), 2015-11-27 17:29:01
step 920, training accuracy 1 , Light( 15 ), Dist( 140 ), 2015-11-27 17:29:09
step 930, training accuracy 1 , Light( 15 ), Dist( 140 ), 2015-11-27 17:29:16
step 940, training accuracy 0.9 , Light( 15 ), Dist( 140 ), 2015-11-27 17:29:24
step 950, training accuracy 0.96 , Light( 15 ), Dist( 140 ), 2015-11-27 17:29:32
step 960, training accuracy 0.96 , Light( 15 ), Dist( 140 ), 2015-11-27 17:29:39
step 970, training accuracy 0.98 , Light( 15 ), Dist( 140 ), 2015-11-27 17:29:47
step 980, training accuracy 0.98 , Light( 15 ), Dist( 140 ), 2015-11-27 17:29:55
step 990, training accuracy 1 , Light( 15 ), Dist( 140 ), 2015-11-27 17:30:02
step 1000, training accuracy 0.92 , Light( 15 ), Dist( 140 ), 2015-11-27 17:30:10
step 1010, training accuracy 1 , Light( 15 ), Dist( 140 ), 2015-11-27 17:30:17
step 1020, training accuracy 0.96 , Light( 15 ), Dist( 140 ), 2015-11-27 17:30:25
step 1030, training accuracy 0.96 , Light( 15 ), Dist( 140 ), 2015-11-27 17:30:33
step 1040, training accuracy 0.98 , Light( 15 ), Dist( 140 ), 2015-11-27 17:30:40
step 1050, training accuracy 1 , Light( 15 ), Dist( 140 ), 2015-11-27 17:30:48
step 1060, training accuracy 0.94 , Light( 15 ), Dist( 140 ), 2015-11-27 17:30:55
step 1070, training accuracy 1 , Light( 15 ), Dist( 140 ), 2015-11-27 17:31:03
step 1080, training accuracy 0.96 , Light( 15 ), Dist( 140 ), 2015-11-27 17:31:10
step 1090, training accuracy 1 , Light( 15 ), Dist( 140 ), 2015-11-27 17:31:18
step 1100, training accuracy 1 , Light( 15 ), Dist( 140 ), 2015-11-27 17:31:25
step 1110, training accuracy 0.96 , Light( 15 ), Dist( 140 ), 2015-11-27 17:31:33
step 1120, training accuracy 0.98 , Light( 15 ), Dist( 140 ), 2015-11-27 17:31:40
step 1130, training accuracy 1 , Light( 15 ), Dist( 140 ), 2015-11-27 17:31:47
step 1140, training accuracy 1 , Light( 15 ), Dist( 140 ), 2015-11-27 17:31:55
step 1150, training accuracy 0.98 , Light( 15 ), Dist( 140 ), 2015-11-27 17:32:02
step 1160, training accuracy 1 , Light( 15 ), Dist( 140 ), 2015-11-27 17:32:10
step 1170, training accuracy 0.96 , Light( 15 ), Dist( 140 ), 2015-11-27 17:32:17
step 1180, training accuracy 0.98 , Light( 15 ), Dist( 140 ), 2015-11-27 17:32:25
step 1190, training accuracy 1 , Light( 15 ), Dist( 140 ), 2015-11-27 17:32:32
step 1200, training accuracy 1 , Light( 15 ), Dist( 140 ), 2015-11-27 17:32:40
step 1210, training accuracy 0.92 , Light( 15 ), Dist( 140 ), 2015-11-27 17:32:47
step 1220, training accuracy 0.94 , Light( 15 ), Dist( 140 ), 2015-11-27 17:32:54
step 1230, training accuracy 0.98 , Light( 15 ), Dist( 140 ), 2015-11-27 17:33:02
step 1240, training accuracy 0.98 , Light( 15 ), Dist( 140 ), 2015-11-27 17:33:09
step 1250, training accuracy 1 , Light( 15 ), Dist( 140 ), 2015-11-27 17:33:17
step 1260, training accuracy 1 , Light( 15 ), Dist( 140 ), 2015-11-27 17:33:24
step 1270, training accuracy 0.98 , Light( 15 ), Dist( 140 ), 2015-11-27 17:33:32
step 1280, training accuracy 1 , Light( 15 ), Dist( 140 ), 2015-11-27 17:33:39
step 1290, training accuracy 0.92 , Light( 15 ), Dist( 140 ), 2015-11-27 17:33:47
step 1300, training accuracy 1 , Light( 15 ), Dist( 140 ), 2015-11-27 17:33:55
step 1310, training accuracy 0.96 , Light( 15 ), Dist( 140 ), 2015-11-27 17:34:02
step 1320, training accuracy 1 , Light( 15 ), Dist( 140 ), 2015-11-27 17:34:09
step 1330, training accuracy 0.98 , Light( 15 ), Dist( 140 ), 2015-11-27 17:34:17
step 1340, training accuracy 1 , Light( 15 ), Dist( 140 ), 2015-11-27 17:34:24
step 1350, training accuracy 0.94 , Light( 15 ), Dist( 140 ), 2015-11-27 17:34:32
step 1360, training accuracy 1 , Light( 15 ), Dist( 140 ), 2015-11-27 17:34:39
