Extracting  10000  images.
Extracting  10000  labels
Extracting  1000  images.
Extracting  1000  labels
step 0, training accuracy 0.08 , Light( 5 ), Dist( 140 ), 2015-11-27 00:28:44
step 10, training accuracy 0.14 , Light( 5 ), Dist( 140 ), 2015-11-27 00:28:52
step 20, training accuracy 0.12 , Light( 5 ), Dist( 140 ), 2015-11-27 00:28:59
step 30, training accuracy 0.16 , Light( 5 ), Dist( 140 ), 2015-11-27 00:29:06
step 40, training accuracy 0.16 , Light( 5 ), Dist( 140 ), 2015-11-27 00:29:14
step 50, training accuracy 0.16 , Light( 5 ), Dist( 140 ), 2015-11-27 00:29:22
step 60, training accuracy 0.28 , Light( 5 ), Dist( 140 ), 2015-11-27 00:29:30
step 70, training accuracy 0.22 , Light( 5 ), Dist( 140 ), 2015-11-27 00:29:37
step 80, training accuracy 0.28 , Light( 5 ), Dist( 140 ), 2015-11-27 00:29:45
step 90, training accuracy 0.3 , Light( 5 ), Dist( 140 ), 2015-11-27 00:29:53
step 100, training accuracy 0.2 , Light( 5 ), Dist( 140 ), 2015-11-27 00:30:00
step 110, training accuracy 0.26 , Light( 5 ), Dist( 140 ), 2015-11-27 00:30:08
step 120, training accuracy 0.2 , Light( 5 ), Dist( 140 ), 2015-11-27 00:30:16
step 130, training accuracy 0.38 , Light( 5 ), Dist( 140 ), 2015-11-27 00:30:24
step 140, training accuracy 0.28 , Light( 5 ), Dist( 140 ), 2015-11-27 00:30:32
step 150, training accuracy 0.3 , Light( 5 ), Dist( 140 ), 2015-11-27 00:30:39
step 160, training accuracy 0.32 , Light( 5 ), Dist( 140 ), 2015-11-27 00:30:47
step 170, training accuracy 0.26 , Light( 5 ), Dist( 140 ), 2015-11-27 00:30:54
step 180, training accuracy 0.36 , Light( 5 ), Dist( 140 ), 2015-11-27 00:31:02
step 190, training accuracy 0.46 , Light( 5 ), Dist( 140 ), 2015-11-27 00:31:09
step 200, training accuracy 0.36 , Light( 5 ), Dist( 140 ), 2015-11-27 00:31:17
step 210, training accuracy 0.26 , Light( 5 ), Dist( 140 ), 2015-11-27 00:31:24
step 220, training accuracy 0.28 , Light( 5 ), Dist( 140 ), 2015-11-27 00:31:32
step 230, training accuracy 0.38 , Light( 5 ), Dist( 140 ), 2015-11-27 00:31:39
step 240, training accuracy 0.48 , Light( 5 ), Dist( 140 ), 2015-11-27 00:31:47
step 250, training accuracy 0.44 , Light( 5 ), Dist( 140 ), 2015-11-27 00:31:54
step 260, training accuracy 0.3 , Light( 5 ), Dist( 140 ), 2015-11-27 00:32:02
step 270, training accuracy 0.34 , Light( 5 ), Dist( 140 ), 2015-11-27 00:32:10
step 280, training accuracy 0.36 , Light( 5 ), Dist( 140 ), 2015-11-27 00:32:17
step 290, training accuracy 0.26 , Light( 5 ), Dist( 140 ), 2015-11-27 00:32:25
step 300, training accuracy 0.34 , Light( 5 ), Dist( 140 ), 2015-11-27 00:32:33
step 310, training accuracy 0.38 , Light( 5 ), Dist( 140 ), 2015-11-27 00:32:40
step 320, training accuracy 0.22 , Light( 5 ), Dist( 140 ), 2015-11-27 00:32:48
step 330, training accuracy 0.4 , Light( 5 ), Dist( 140 ), 2015-11-27 00:32:56
step 340, training accuracy 0.44 , Light( 5 ), Dist( 140 ), 2015-11-27 00:33:03
