Extracting  10000  images.
Extracting  10000  labels
Extracting  1000  images.
Extracting  1000  labels
step 0, training accuracy 0.06 , Light( 10 ), Dist( 25 ), 2015-11-27 13:42:29
step 10, training accuracy 0.36 , Light( 10 ), Dist( 25 ), 2015-11-27 13:42:47
step 20, training accuracy 0.6 , Light( 10 ), Dist( 25 ), 2015-11-27 13:43:06
step 30, training accuracy 0.72 , Light( 10 ), Dist( 25 ), 2015-11-27 13:43:24
step 40, training accuracy 0.74 , Light( 10 ), Dist( 25 ), 2015-11-27 13:43:42
step 50, training accuracy 0.8 , Light( 10 ), Dist( 25 ), 2015-11-27 13:44:00
step 60, training accuracy 0.8 , Light( 10 ), Dist( 25 ), 2015-11-27 13:44:16
step 70, training accuracy 0.82 , Light( 10 ), Dist( 25 ), 2015-11-27 13:44:34
step 80, training accuracy 0.9 , Light( 10 ), Dist( 25 ), 2015-11-27 13:44:51
step 90, training accuracy 0.92 , Light( 10 ), Dist( 25 ), 2015-11-27 13:45:07
step 100, training accuracy 0.82 , Light( 10 ), Dist( 25 ), 2015-11-27 13:45:22
step 110, training accuracy 0.84 , Light( 10 ), Dist( 25 ), 2015-11-27 13:45:39
step 120, training accuracy 0.92 , Light( 10 ), Dist( 25 ), 2015-11-27 13:45:56
step 130, training accuracy 0.84 , Light( 10 ), Dist( 25 ), 2015-11-27 13:46:13
step 140, training accuracy 0.9 , Light( 10 ), Dist( 25 ), 2015-11-27 13:46:30
step 150, training accuracy 0.8 , Light( 10 ), Dist( 25 ), 2015-11-27 13:46:47
step 160, training accuracy 0.8 , Light( 10 ), Dist( 25 ), 2015-11-27 13:47:04
step 170, training accuracy 0.94 , Light( 10 ), Dist( 25 ), 2015-11-27 13:47:22
step 180, training accuracy 0.9 , Light( 10 ), Dist( 25 ), 2015-11-27 13:47:39
step 190, training accuracy 0.92 , Light( 10 ), Dist( 25 ), 2015-11-27 13:47:57
step 200, training accuracy 0.9 , Light( 10 ), Dist( 25 ), 2015-11-27 13:48:14
step 210, training accuracy 0.96 , Light( 10 ), Dist( 25 ), 2015-11-27 13:48:30
step 220, training accuracy 0.88 , Light( 10 ), Dist( 25 ), 2015-11-27 13:48:48
step 230, training accuracy 0.84 , Light( 10 ), Dist( 25 ), 2015-11-27 13:49:06
step 240, training accuracy 0.94 , Light( 10 ), Dist( 25 ), 2015-11-27 13:49:22
step 250, training accuracy 0.94 , Light( 10 ), Dist( 25 ), 2015-11-27 13:49:39
step 260, training accuracy 0.98 , Light( 10 ), Dist( 25 ), 2015-11-27 13:49:56
step 270, training accuracy 1 , Light( 10 ), Dist( 25 ), 2015-11-27 13:50:14
step 280, training accuracy 0.94 , Light( 10 ), Dist( 25 ), 2015-11-27 13:50:31
step 290, training accuracy 0.92 , Light( 10 ), Dist( 25 ), 2015-11-27 13:50:48
step 300, training accuracy 0.94 , Light( 10 ), Dist( 25 ), 2015-11-27 13:51:06
step 310, training accuracy 0.9 , Light( 10 ), Dist( 25 ), 2015-11-27 13:51:24
step 320, training accuracy 0.98 , Light( 10 ), Dist( 25 ), 2015-11-27 13:51:41
step 330, training accuracy 0.96 , Light( 10 ), Dist( 25 ), 2015-11-27 13:51:58
step 340, training accuracy 0.92 , Light( 10 ), Dist( 25 ), 2015-11-27 13:52:14
step 350, training accuracy 0.92 , Light( 10 ), Dist( 25 ), 2015-11-27 13:52:30
step 360, training accuracy 0.92 , Light( 10 ), Dist( 25 ), 2015-11-27 13:52:46
step 370, training accuracy 0.92 , Light( 10 ), Dist( 25 ), 2015-11-27 13:53:03
step 380, training accuracy 1 , Light( 10 ), Dist( 25 ), 2015-11-27 13:53:20
step 390, training accuracy 0.98 , Light( 10 ), Dist( 25 ), 2015-11-27 13:53:36
step 400, training accuracy 0.92 , Light( 10 ), Dist( 25 ), 2015-11-27 13:53:53
step 410, training accuracy 1 , Light( 10 ), Dist( 25 ), 2015-11-27 13:54:09
step 420, training accuracy 0.9 , Light( 10 ), Dist( 25 ), 2015-11-27 13:54:26
step 430, training accuracy 1 , Light( 10 ), Dist( 25 ), 2015-11-27 13:54:42
step 440, training accuracy 0.98 , Light( 10 ), Dist( 25 ), 2015-11-27 13:55:00
step 450, training accuracy 0.94 , Light( 10 ), Dist( 25 ), 2015-11-27 13:55:16
step 460, training accuracy 0.88 , Light( 10 ), Dist( 25 ), 2015-11-27 13:55:32
step 470, training accuracy 0.88 , Light( 10 ), Dist( 25 ), 2015-11-27 13:55:49
step 480, training accuracy 0.9 , Light( 10 ), Dist( 25 ), 2015-11-27 13:56:04
step 490, training accuracy 0.94 , Light( 10 ), Dist( 25 ), 2015-11-27 13:56:20
step 500, training accuracy 0.94 , Light( 10 ), Dist( 25 ), 2015-11-27 13:56:39
step 510, training accuracy 0.98 , Light( 10 ), Dist( 25 ), 2015-11-27 13:56:57
step 520, training accuracy 0.96 , Light( 10 ), Dist( 25 ), 2015-11-27 13:57:13
step 530, training accuracy 0.92 , Light( 10 ), Dist( 25 ), 2015-11-27 13:57:30
step 540, training accuracy 0.94 , Light( 10 ), Dist( 25 ), 2015-11-27 13:57:47
step 550, training accuracy 0.98 , Light( 10 ), Dist( 25 ), 2015-11-27 13:58:03
step 560, training accuracy 0.98 , Light( 10 ), Dist( 25 ), 2015-11-27 13:58:19
step 570, training accuracy 0.92 , Light( 10 ), Dist( 25 ), 2015-11-27 13:58:36
step 580, training accuracy 0.96 , Light( 10 ), Dist( 25 ), 2015-11-27 13:58:53
step 590, training accuracy 0.98 , Light( 10 ), Dist( 25 ), 2015-11-27 13:59:10
