Extracting  10000  images.
Extracting  10000  labels
Extracting  1000  images.
Extracting  1000  labels
step 0, training accuracy 0.14 , Light( 15 ), Dist( 140 ), 2015-11-27 01:31:17
step 10, training accuracy 0.14 , Light( 15 ), Dist( 140 ), 2015-11-27 01:31:24
step 20, training accuracy 0.2 , Light( 15 ), Dist( 140 ), 2015-11-27 01:31:32
step 30, training accuracy 0.36 , Light( 15 ), Dist( 140 ), 2015-11-27 01:31:39
step 40, training accuracy 0.3 , Light( 15 ), Dist( 140 ), 2015-11-27 01:31:47
step 50, training accuracy 0.38 , Light( 15 ), Dist( 140 ), 2015-11-27 01:31:54
step 60, training accuracy 0.46 , Light( 15 ), Dist( 140 ), 2015-11-27 01:32:01
step 70, training accuracy 0.5 , Light( 15 ), Dist( 140 ), 2015-11-27 01:32:09
step 80, training accuracy 0.54 , Light( 15 ), Dist( 140 ), 2015-11-27 01:32:16
step 90, training accuracy 0.52 , Light( 15 ), Dist( 140 ), 2015-11-27 01:32:24
step 100, training accuracy 0.6 , Light( 15 ), Dist( 140 ), 2015-11-27 01:32:31
step 110, training accuracy 0.68 , Light( 15 ), Dist( 140 ), 2015-11-27 01:32:38
step 120, training accuracy 0.7 , Light( 15 ), Dist( 140 ), 2015-11-27 01:32:46
step 130, training accuracy 0.6 , Light( 15 ), Dist( 140 ), 2015-11-27 01:32:53
step 140, training accuracy 0.7 , Light( 15 ), Dist( 140 ), 2015-11-27 01:33:01
step 150, training accuracy 0.6 , Light( 15 ), Dist( 140 ), 2015-11-27 01:33:08
step 160, training accuracy 0.74 , Light( 15 ), Dist( 140 ), 2015-11-27 01:33:15
step 170, training accuracy 0.66 , Light( 15 ), Dist( 140 ), 2015-11-27 01:33:23
step 180, training accuracy 0.72 , Light( 15 ), Dist( 140 ), 2015-11-27 01:33:30
step 190, training accuracy 0.82 , Light( 15 ), Dist( 140 ), 2015-11-27 01:33:38
step 200, training accuracy 0.78 , Light( 15 ), Dist( 140 ), 2015-11-27 01:33:45
step 210, training accuracy 0.6 , Light( 15 ), Dist( 140 ), 2015-11-27 01:33:53
step 220, training accuracy 0.68 , Light( 15 ), Dist( 140 ), 2015-11-27 01:34:00
step 230, training accuracy 0.76 , Light( 15 ), Dist( 140 ), 2015-11-27 01:34:08
step 240, training accuracy 0.82 , Light( 15 ), Dist( 140 ), 2015-11-27 01:34:15
step 250, training accuracy 0.76 , Light( 15 ), Dist( 140 ), 2015-11-27 01:34:22
step 260, training accuracy 0.76 , Light( 15 ), Dist( 140 ), 2015-11-27 01:34:30
step 270, training accuracy 0.8 , Light( 15 ), Dist( 140 ), 2015-11-27 01:34:37
step 280, training accuracy 0.74 , Light( 15 ), Dist( 140 ), 2015-11-27 01:34:45
step 290, training accuracy 0.84 , Light( 15 ), Dist( 140 ), 2015-11-27 01:34:52
step 300, training accuracy 0.76 , Light( 15 ), Dist( 140 ), 2015-11-27 01:34:59
step 310, training accuracy 0.86 , Light( 15 ), Dist( 140 ), 2015-11-27 01:35:07
step 320, training accuracy 0.82 , Light( 15 ), Dist( 140 ), 2015-11-27 01:35:14
step 330, training accuracy 0.84 , Light( 15 ), Dist( 140 ), 2015-11-27 01:35:22
step 340, training accuracy 0.84 , Light( 15 ), Dist( 140 ), 2015-11-27 01:35:29
step 350, training accuracy 0.76 , Light( 15 ), Dist( 140 ), 2015-11-27 01:35:37
step 360, training accuracy 0.8 , Light( 15 ), Dist( 140 ), 2015-11-27 01:35:44
step 370, training accuracy 0.76 , Light( 15 ), Dist( 140 ), 2015-11-27 01:35:52
step 380, training accuracy 0.86 , Light( 15 ), Dist( 140 ), 2015-11-27 01:35:59
step 390, training accuracy 0.8 , Light( 15 ), Dist( 140 ), 2015-11-27 01:36:06
step 400, training accuracy 0.78 , Light( 15 ), Dist( 140 ), 2015-11-27 01:36:14
step 410, training accuracy 0.9 , Light( 15 ), Dist( 140 ), 2015-11-27 01:36:21
step 420, training accuracy 0.84 , Light( 15 ), Dist( 140 ), 2015-11-27 01:36:29
step 430, training accuracy 0.9 , Light( 15 ), Dist( 140 ), 2015-11-27 01:36:36
step 440, training accuracy 0.86 , Light( 15 ), Dist( 140 ), 2015-11-27 01:36:43
step 450, training accuracy 0.84 , Light( 15 ), Dist( 140 ), 2015-11-27 01:36:51
step 460, training accuracy 0.78 , Light( 15 ), Dist( 140 ), 2015-11-27 01:36:58
step 470, training accuracy 0.96 , Light( 15 ), Dist( 140 ), 2015-11-27 01:37:06
step 480, training accuracy 0.86 , Light( 15 ), Dist( 140 ), 2015-11-27 01:37:13
step 490, training accuracy 0.84 , Light( 15 ), Dist( 140 ), 2015-11-27 01:37:20
step 500, training accuracy 0.86 , Light( 15 ), Dist( 140 ), 2015-11-27 01:37:28
step 510, training accuracy 0.86 , Light( 15 ), Dist( 140 ), 2015-11-27 01:37:35
