Extracting  10000  images.
Extracting  10000  labels
Extracting  1000  images.
Extracting  1000  labels
step 680, training accuracy 0.98 , Light( 10 ), Dist( 100 ), 2015-11-27 18:51:23
step 690, training accuracy 0.84 , Light( 10 ), Dist( 100 ), 2015-11-27 18:51:40
step 700, training accuracy 0.92 , Light( 10 ), Dist( 100 ), 2015-11-27 18:51:57
step 710, training accuracy 0.94 , Light( 10 ), Dist( 100 ), 2015-11-27 18:52:14
step 720, training accuracy 0.96 , Light( 10 ), Dist( 100 ), 2015-11-27 18:52:30
step 730, training accuracy 0.9 , Light( 10 ), Dist( 100 ), 2015-11-27 18:52:47
step 740, training accuracy 0.82 , Light( 10 ), Dist( 100 ), 2015-11-27 18:53:04
step 750, training accuracy 0.96 , Light( 10 ), Dist( 100 ), 2015-11-27 18:53:21
step 760, training accuracy 0.94 , Light( 10 ), Dist( 100 ), 2015-11-27 18:53:38
step 770, training accuracy 0.98 , Light( 10 ), Dist( 100 ), 2015-11-27 18:53:55
step 780, training accuracy 0.9 , Light( 10 ), Dist( 100 ), 2015-11-27 18:54:12
step 790, training accuracy 1 , Light( 10 ), Dist( 100 ), 2015-11-27 18:54:30
step 800, training accuracy 0.94 , Light( 10 ), Dist( 100 ), 2015-11-27 18:54:47
step 810, training accuracy 0.94 , Light( 10 ), Dist( 100 ), 2015-11-27 18:55:04
step 820, training accuracy 0.86 , Light( 10 ), Dist( 100 ), 2015-11-27 18:55:21
step 830, training accuracy 0.92 , Light( 10 ), Dist( 100 ), 2015-11-27 18:55:38
step 840, training accuracy 0.96 , Light( 10 ), Dist( 100 ), 2015-11-27 18:55:57
step 850, training accuracy 0.92 , Light( 10 ), Dist( 100 ), 2015-11-27 18:56:14
step 860, training accuracy 0.94 , Light( 10 ), Dist( 100 ), 2015-11-27 18:56:30
step 870, training accuracy 0.94 , Light( 10 ), Dist( 100 ), 2015-11-27 18:56:48
step 880, training accuracy 0.92 , Light( 10 ), Dist( 100 ), 2015-11-27 18:57:06
step 890, training accuracy 0.94 , Light( 10 ), Dist( 100 ), 2015-11-27 18:57:23
step 900, training accuracy 0.92 , Light( 10 ), Dist( 100 ), 2015-11-27 18:57:40
step 910, training accuracy 0.94 , Light( 10 ), Dist( 100 ), 2015-11-27 18:57:57
step 920, training accuracy 0.88 , Light( 10 ), Dist( 100 ), 2015-11-27 18:58:14
step 930, training accuracy 0.94 , Light( 10 ), Dist( 100 ), 2015-11-27 18:58:31
step 940, training accuracy 0.96 , Light( 10 ), Dist( 100 ), 2015-11-27 18:58:48
step 950, training accuracy 0.96 , Light( 10 ), Dist( 100 ), 2015-11-27 18:59:07
